,ni1-5HT1a,ni2-5HT1b,ni3-5HT2a,ni4-5HT4,ni5-5HT6,ni6-5HTT,ni7-A4B2,ni8-CB1,ni9-CBF,ni10-CMRglu,ni11-COX1,ni12-D1,ni13-D2,ni14-DAT,ni15-FDOPA,ni16-GABAa,ni17-GI,ni18-H3,ni19-HDAC,ni20-M1,ni21-mGluR5,ni22-MU,ni23-NET,ni24-NMDA,ni25-SV2A,ni26-TSPO,ni27-VAChT,ce1-Ex1,ce2-Ex2,ce3-Ex3,ce4-Ex4,ce5-Ex5,ce6-Ex6,ce7-Ex7,ce8-Ex8,ce9-In1,ce10-In2,ce11-In3,ce12-In4,ce13-In5,ce14-In6,ce15-In7,ce16-In8,ce17-Astro,ce18-Endo,ce19-Micro,ce20-OPC,ce21-Oligo,mr1-Microstr
ni11-COX1,-0.35897711161373674,0.17211266875696407,-0.08725572579839119,-0.243191417688062,0.15939689861070494,-0.11598189067028952,0.0010439147543653776,-0.4480356263673618,0.2006833569633186,0.3145737162995073,1.0,0.013652331964891889,-0.19992448276245017,0.15395521531667264,0.06396384056978496,0.3410602768225012,-0.05676749205033002,-0.36030976874696913,0.07016439806468569,-0.05031891225563325,-0.1424388365903227,-0.4308591566501442,0.01591044544064678,0.10842646508993585,0.0023617645861174143,-0.03862484591151897,-0.27208046287624427,-0.23200932394651247,0.06332224395541869,0.5439836348933291,-0.33729896686602084,-0.4270756915117632,-0.37215386825219327,-0.49875208347615885,-0.1472030570822477,-0.4672056792013191,-0.29424994384630315,-0.24613406161412496,0.4340397308859669,0.2760840581918881,-0.11966695233629608,0.3577437823488714,0.1563303445677074,-0.3811924664211487,0.18676234830038493,-0.4255486928449943,-0.4848394289567087,0.2479464085166032,0.44919059588282984
ni12-D1,0.4402395821379522,0.06671059499439173,0.41849135808867355,0.41523745358836445,0.2359358399626856,0.4085630624460922,0.057985392597089624,0.47825362686340633,0.3224400952109485,-0.05307307033098021,0.013652331964891889,1.0,0.48409140547203827,0.6304208605263255,0.5866245645727909,0.41952416736692866,-0.07198199432139989,0.5199694969589505,0.1889559741908735,0.23948959231797198,0.5568026593913459,0.6022869877136416,-0.20496636891651274,0.5177521035622665,0.27386104087925756,0.686055594013408,0.3845011975405072,0.4253385377254516,0.15765104417217293,-0.2881631574940437,0.5365009558204374,0.48838892964549857,0.24344831774694176,0.3537662593065175,0.2224983587657409,0.4822308062343118,0.28812074086441125,0.3687084811088649,-0.3662097560177885,0.23965010136621603,-0.1038629017409617,-0.0978011797607578,0.3973319939963035,0.24470153634971928,-0.07716356141594151,0.22291866900482626,0.28640479539291586,-0.18704576850747462,-0.45442127513076697
ni13-D2,0.6883100056637929,-0.07727560460062857,0.3780044940159993,0.5777438855099449,0.4744703613351744,0.38079567034504713,-0.02509467418384005,0.7154554911026627,-0.31663933485601753,-0.5452751751888857,-0.19992448276245017,0.48409140547203827,1.0,0.44103547459252157,0.4977178246593395,0.013111865460858749,-0.2575507982986411,0.3728885713545349,-0.022740313248462818,0.45070834428456674,0.47199754198795424,0.5435390190903134,-0.10269603941703655,0.31536220510333646,0.36535905855177186,0.529701595856917,0.2043111458260068,0.7023306973971984,-0.2585833424112549,-0.4352061882008599,0.5203402199304664,0.4289439512442116,0.022303435072200575,0.34854515780448436,0.09866879263960378,0.3760966867793933,0.24844191187185524,0.2640820800345187,-0.6923435091473714,0.43552624095172304,-0.36039096564366147,0.009863794418168927,0.30902442715874034,0.18612031477003893,-0.1919738096593198,0.40745800030674584,0.42542337098471655,-0.24326708305669392,-0.5712804984137678
ni14-DAT,0.41950936006544826,-0.2978821857057715,0.1646275778586421,0.27043685241192433,0.001654715940430226,0.4873156953693866,-0.21763771715833077,0.09584025883162987,0.08937687173545275,-0.3476384205051511,0.15395521531667264,0.6304208605263255,0.44103547459252157,1.0,0.8281168444159815,0.1248292533048046,-0.3229694562388714,0.17970141076564855,-0.3735252853181904,-0.17226074177176764,0.2703220958254515,0.30329795622221317,-0.43035941022518204,0.4636499257784013,-0.0856972573175833,0.6037751215124177,0.3614092108818859,0.4186579185583376,0.03533883656970646,-0.4228301724912769,0.29816384194420836,0.27568688429623855,0.41929802406006395,0.3792567256870123,0.4315294376231726,0.530707229818366,0.26741949757514627,0.3619237483962893,-0.27390152979443555,0.2748963925621789,-0.2526083817189356,0.12077749682121892,0.29605843469154214,0.29819854645936217,0.24927289220692772,0.3259660146396728,0.3741397377304407,0.09031850068786618,-0.27993203448620513
ni15-FDOPA,0.37051199946693714,-0.2662982116481637,0.10654223597656004,0.22970566786482413,0.14934274090554053,0.32920333016210296,-0.16557894697875522,0.20696165279099124,0.1051503496374062,-0.2873578961786057,0.06396384056978496,0.5866245645727909,0.4977178246593395,0.8281168444159815,1.0,0.061598374158297456,-0.2038336103532652,0.1847099804913803,-0.3279076912825714,-0.1343318390298256,0.3563043936965318,0.412916409081318,-0.3508886231800901,0.4723603208742231,-0.08024446854744074,0.6239870880331091,0.3331272650543983,0.45570306045644116,0.009911995133660369,-0.4876890552565628,0.391758063256873,0.3815317994582084,0.3869688401656432,0.40692008032186133,0.3893248911388649,0.5281390956969819,0.23256074013173456,0.4458624023817081,-0.3492103276782663,0.15888691051737355,-0.2670261797367361,-0.022328499444256123,0.1773921292088484,0.414042218042877,0.18247826870750547,0.21579460325519098,0.30418314729477974,0.013247484645668234,-0.35723355186442435
ni16-GABAa,0.02664944083927785,0.4658451082228647,0.31591007525810977,0.16140328796129372,0.36452244601813155,0.18668305341363828,0.3461169702780441,0.09810947778349505,0.5176373469757938,0.31643943628603266,0.3410602768225012,0.41952416736692866,0.013111865460858749,0.1248292533048046,0.061598374158297456,1.0,-0.0904689102196293,0.3458578425021378,0.5338624475728982,0.48275504651343576,0.5557846574145712,0.015921550916757052,0.30334237812665427,0.4051499794548692,0.5991996653549866,0.2328300084771801,0.14327544912396303,-0.13918245802447157,0.07017060161244294,0.34654964818313866,0.049907020819840234,0.06515387114409353,-0.0020147899075423237,-0.24758008307886825,-0.11529032736967304,-0.17059390029593524,-0.10837641673958044,-0.14269147011224864,0.08577606525995257,0.07799068569377467,0.09954604566154805,0.144125923405274,0.1690360531712518,-0.39534034043219707,-0.1845104108726247,-0.17622759992257514,-0.19460942478239188,-0.13740095957990783,0.18457301295268697
ni17-GI,-0.18776028459633445,0.4593706156505773,-0.02112631738710358,-0.14379740650114572,0.18280724225115405,-0.40420601398549627,0.5104150856787482,0.11784761065681487,0.2973084027734076,0.6172164494312146,-0.05676749205033002,-0.07198199432139989,-0.2575507982986411,-0.3229694562388714,-0.2038336103532652,-0.0904689102196293,1.0,0.1601779837637939,0.2170010031946753,-0.08041105068909479,0.09861292603382728,0.3276744762842558,0.16711150268197247,0.19299836749501179,-0.06515953016432403,-0.037033061002380276,0.10858564358084971,-0.2126384204048113,0.5637015835865686,0.09155051097582746,0.21098417184914495,0.22457677361773193,-0.10139116905056049,0.14403145000291076,0.1659994080952909,0.09706081677080924,0.11303646191329315,-0.03847573913388958,0.0707740745703958,-0.05249636325604056,0.5541231374041091,-0.31913886529746477,-0.07407871562448914,0.08863918776014429,0.05212618176106628,-0.005236525730990383,0.03393715976321529,0.06445399675515778,-0.1696176384575234
ni18-H3,0.330809922372722,0.3926155987517445,0.2615043477938972,0.2641400474574012,0.29121519821423947,0.2755490732480186,0.4164923723888249,0.726535054435342,0.37186316572702,0.03721074862014459,-0.36030976874696913,0.5199694969589505,0.3728885713545349,0.17970141076564855,0.1847099804913803,0.3458578425021378,0.1601779837637939,1.0,0.3445177817181652,0.5160455620666551,0.6829127442742016,0.6831459592725173,0.3436774673591548,0.37483573149920224,0.4825440424673407,0.42117147965661866,0.6611423092727023,0.10858464383050347,0.24310320062402302,-0.2964247601292771,0.38506009183218204,0.5048369417997987,0.3790060819664568,0.3179107110667428,0.335833665115081,0.42623121497635313,0.30571014596154866,0.0590574446487358,-0.38944828497052303,-0.07284670533652786,0.3351781353843974,-0.33365499277486776,0.199109443580673,0.17925460485543776,-0.17176614169668716,0.4366040089501117,0.48785486571785336,-0.24530500930767213,-0.4355752821716388
ni19-HDAC,-0.04330765500468281,0.6674761324809263,0.29040079663281965,0.12093863484084001,0.4195500801445193,-0.13536094648271063,0.4941825814309036,0.2719249862107005,0.40645672381051096,0.48646057370889584,0.07016439806468569,0.1889559741908735,-0.022740313248462818,-0.3735252853181904,-0.3279076912825714,0.5338624475728982,0.2170010031946753,0.3445177817181652,1.0,0.5612189370578632,0.34381073307247806,0.10359558298196841,0.45198917586261783,0.1631801641389369,0.5122437874115726,0.06393052414145416,-0.014466733546311686,-0.13807576959678805,0.15574422386733144,0.39147657107840295,0.020813068949205153,0.08660126150916608,-0.23409545091298212,-0.1958317949272549,-0.15164523502193913,-0.2813437202663143,-0.14960152468510193,-0.2199128723867799,0.1373122702634036,-0.0018605476179697055,0.2940571409843374,0.020878621922273514,0.1714576571175419,-0.30402119289072854,-0.24404793464765528,-0.11781218880418534,-0.15058481928112738,-0.1742687228450029,0.03752170195123215
ni20-M1,0.17319730359040042,0.44086519062549745,0.2839781296157135,0.27226185231937866,0.6071808008529006,0.04624320252316417,0.30427893994528704,0.6082839448131874,0.045617594035618964,0.0029614602960719933,-0.05031891225563325,0.23948959231797198,0.45070834428456674,-0.17226074177176764,-0.1343318390298256,0.48275504651343576,-0.08041105068909479,0.5160455620666551,0.5612189370578632,1.0,0.5808534188208205,0.21893705786323236,0.41593339675794133,0.13439847188648724,0.8681409803173945,0.11826221509826496,0.03394203681835513,0.14046652508516363,-0.15839333519074117,0.09803832728097571,0.1821620720138816,0.18560938718582962,-0.20772773151054305,-0.11160779270612678,-0.25476006165847365,-0.13470943162686566,0.029358091791528193,-0.11127617178354565,-0.27764961743105016,0.08826322217931104,-0.0508710351296691,-0.12758729390585002,0.15268637047655428,-0.21508508872315693,-0.5036955488569612,0.05546745535893312,0.021063712669760655,-0.456092522237612,-0.18436941255733202
