,SV2A,M1,mGluR5,5HT6,CB1,GABAa,HDAC,5HT2a,5HT4,5HT1a,5HTT,FDOPA,DAT,D1,NMDA,GI,5HT1b,MU,A4B2,VAChT,NET,CBF,CMRglu,COX1,H3,D2,TSPO
5HTT,-0.02237126954428339,0.05695059946011407,0.13086144650913645,-0.06083708413504148,0.2314004387242359,0.06927340676842757,-0.18140640996118934,0.580571253195884,0.7344163817486441,0.8341162547962876,1.0,0.3841221719357906,0.5376807245216283,0.37760844736439725,0.2866657630996074,-0.4680832158003519,-0.2547598805574509,0.172760023324085,-0.3229480450843803,0.37599546757280544,-0.2011717752970842,-0.03567928797216625,-0.42446413408795863,-0.11648101985700099,0.3496924658061895,0.5536466632363887,0.5319670485746978
FDOPA,-0.05405198306275535,-0.07878788696282192,0.3153685805522291,0.12785204924319735,0.18075731533261385,0.05360022488156702,-0.3301179112327606,0.07160297510098393,0.21467261273923968,0.3584026679465607,0.3841221719357906,1.0,0.8089066484351491,0.5946545689579066,0.3954639483243481,-0.24398067803503717,-0.22456992799062528,0.3741835391220961,-0.17592276020597727,0.3324075250428528,-0.306794188122754,0.01673555581323601,-0.29055739015638904,-0.028776781045163402,0.29512695733117905,0.5178476475378297,0.6119167165687135
DAT,-0.041249419100960895,-0.03443427811744019,0.25072840609964386,0.01792027957452282,0.1892545768900498,0.08709318515313683,-0.28576837612813305,0.14195037976812552,0.2691917656725003,0.4208095738320459,0.5376807245216283,0.8089066484351491,1.0,0.6546171863859948,0.3502415671182737,-0.31882694358221797,-0.2089929495344088,0.3335459485972331,-0.1678930961768211,0.40339192418728614,-0.34729138901349105,0.01755778837807401,-0.33531338879780265,0.005554192427087711,0.43512218980952677,0.5543810707307365,0.5436827860514681
D1,0.3219263441910468,0.3310753244566225,0.5879657377728964,0.3239976511167075,0.5028201815442299,0.4153359126673104,0.24450756316316655,0.38440431834435124,0.4078065077287877,0.41864482332566166,0.37760844736439725,0.5946545689579066,0.6546171863859948,1.0,0.5062447011380904,-0.062035856109203875,0.1630622296825927,0.5799297694769051,0.12565950675858653,0.36373938853204146,-0.16980149258524657,0.2969027002112547,0.02173336705891568,-0.07419959644042116,0.5789420946109003,0.49186798257436054,0.7002308056904119
NMDA,0.30734969553247976,0.3561739656225824,0.6695240118667517,0.5739217020131197,0.3064986456059026,0.5237901605784352,0.40759560996785066,0.5097448613255313,0.41265867588661526,0.29434497216437294,0.2866657630996074,0.3954639483243481,0.3502415671182737,0.5062447011380904,1.0,0.1531942248107152,0.3866312958101193,0.3300484442236537,0.3481046742447921,0.45946672455542115,0.321607737403959,0.5286249874907686,0.38456413027637126,0.07855199324292327,0.3698685344958573,0.32073818783296404,0.3927432186027409
GI,-0.06541136524037924,-0.02899052915587874,0.15443895127059643,0.24452437008213126,0.13370142508243235,-0.03822444645569478,0.29314398041000783,-0.03918406201591433,-0.18186099866637712,-0.2842658257821387,-0.4680832158003519,-0.24398067803503717,-0.31882694358221797,-0.062035856109203875,0.1531942248107152,1.0,0.465520617707735,0.34230383274210757,0.4993388493831592,0.04098589899585892,0.21117500681782486,0.3326675417343905,0.6158322853906519,-0.18608606801082536,0.05828629447589433,-0.3152427461062364,-0.049272705893478264
5HT1b,0.5063704177619106,0.569681040271583,0.5272077658544919,0.6779935649440264,0.39788063414392577,0.5692180898286346,0.7768155679617665,0.17654443567006378,-0.04254328517265944,-0.175420614817876,-0.2547598805574509,-0.22456992799062528,-0.2089929495344088,0.1630622296825927,0.3866312958101193,0.465520617707735,1.0,0.24412171185590534,0.7571834323806551,0.12454075306924847,0.6102337666345968,0.537814629353707,0.6362451766735692,0.24977806753368442,0.35011758200626275,-0.07485680207778969,0.04820192121844739
MU,0.1855819043514628,0.23622622854112493,0.5934334539345527,0.33343874594579054,0.7812478711523171,-0.01805148015590533,0.08663963353897615,0.2262085125314254,0.3425999107979501,0.4697611461003786,0.172760023324085,0.3741835391220961,0.3335459485972331,0.5799297694769051,0.3300484442236537,0.34230383274210757,0.24412171185590534,1.0,0.3721666466863736,0.4827054034615333,0.020843903234266613,0.05669858290359944,-0.10241366583762063,-0.6387313596905414,0.6406133681055782,0.5352216434668164,0.4941860127314327
A4B2,0.4931832187830978,0.48538913506003045,0.5729972458816707,0.6319687167247817,0.42704182046364947,0.40326617516951724,0.6199450278542621,0.04940914101483245,-0.08890246795395156,-0.17847002432209705,-0.3229480450843803,-0.17592276020597727,-0.1678930961768211,0.12565950675858653,0.3481046742447921,0.4993388493831592,0.7571834323806551,0.3721666466863736,1.0,0.32690768203047704,0.7029076251564529,0.3974563141349017,0.5216937071629991,-0.02399814144780229,0.3523025162075436,-0.014195360268782408,-4.3375409746749785e-05
VAChT,0.04294870504763278,0.08913020200949312,0.5028459906890853,0.12984198757662532,0.34777045860141276,0.17083812291294131,0.0936625619545962,0.22865310297560923,0.239320388370749,0.2756847923975479,0.37599546757280544,0.3324075250428528,0.40339192418728614,0.36373938853204146,0.45946672455542115,0.04098589899585892,0.12454075306924847,0.4827054034615333,0.32690768203047704,1.0,0.3905346623238151,0.2622885079274021,-0.017838100080650017,-0.28807823849619973,0.6239028702788562,0.2343043157288321,0.378876603375695
