category,gene_set,symbol,entrez,ensembl
ce,In8,NMU,10874,ENSG00000109255
ce,Astro,ALDH1L1,10840,ENSG00000144908
ce,Astro,EYA1,2138,ENSG00000104313
ce,Astro,NWD1,284434,ENSG00000188039
ce,Astro,SLCO1C1,53919,ENSG00000139155
ce,Astro,HGF,3082,ENSG00000019991
ce,Astro,SPARCL1,8404,ENSG00000152583
ce,Astro,SLC25A18,83733,ENSG00000182902
ce,Astro,FGFR3,2261,ENSG00000068078
ce,Astro,SDC4,6385,ENSG00000124145
ce,Astro,GFAP,2670,ENSG00000131095
ce,Astro,ACSBG1,23205,ENSG00000103740
ce,Astro,PRODH,5625,
ce,Astro,ITGB4,3691,ENSG00000132470
ce,Astro,SLC7A11,23657,ENSG00000151012
ce,Astro,AGT,183,ENSG00000135744
ce,Astro,PPP1R3C,5507,ENSG00000119938
ce,Astro,RANBP3L,202151,ENSG00000164188
ce,Astro,RNF43,54894,ENSG00000108375
ce,Astro,GJB6,10804,ENSG00000121742
ce,Astro,SLC14A1,6563,ENSG00000141469
ce,Astro,GJA1,2697,ENSG00000152661
ce,Astro,USP9Y,8287,ENSG00000114374
ce,Astro,TTTY15,64595,ENSG00000114374
ce,Astro,KDM5D,8284,ENSG00000012817
ce,Astro,SLC39A12,221074,ENSG00000148482
ce,Astro,COL16A1,1307,ENSG00000084636
ce,Astro,DLC1,10395,
ce,Astro,ABO,28,
ce,Astro,ABCC9,10060,ENSG00000069431
ce,Astro,MGST1,4257,ENSG00000008394
ce,Astro,GABRG1,2565,ENSG00000163285
ce,Astro,ITGA7,3679,ENSG00000135424
ce,Astro,CLTCL1,8218,ENSG00000070371
ce,Astro,DCHS2,54798,
ce,Astro,RGS9,8787,ENSG00000108370
ce,Astro,SLC30A10,55532,ENSG00000196660
ce,Astro,GPR98,,
ce,Astro,BMPR1B,658,ENSG00000138696
ce,Astro,SLC4A4,8671,ENSG00000080493
ce,Astro,GRM3,2913,ENSG00000198822
ce,Endo,NLGN4Y,22829,ENSG00000165246
ce,Endo,PTRF,,
ce,Endo,ITGB8,3696,ENSG00000105855
ce,Endo,MYO10,4651,ENSG00000145555
ce,Endo,RAB31,11031,ENSG00000168461
ce,Endo,PDLIM5,10611,ENSG00000163110
ce,Endo,CREB5,9586,ENSG00000146592
ce,Endo,LPAR1,1902,ENSG00000198121
ce,Endo,KCNH8,131096,ENSG00000183960
ce,Endo,JAG1,182,ENSG00000101384
ce,Endo,KANK2,25959,ENSG00000197256
ce,Endo,PDGFRA,5156,ENSG00000134853
ce,Endo,SPARC,6678,ENSG00000113140
ce,Endo,DCN,1634,ENSG00000011465
ce,Endo,CTH,1491,ENSG00000116761
ce,Endo,CBS,875,ENSG00000160200
ce,Endo,GPR37L1,9283,ENSG00000170075
ce,Endo,EDNRB,1910,ENSG00000136160
ce,Endo,B2M,567,
ce,Endo,CYBRD1,79901,ENSG00000071967
ce,Endo,MSX1,4487,ENSG00000163132
ce,Endo,ADAMTS4,9507,ENSG00000158859
ce,Endo,TF,7018,ENSG00000091513
ce,Endo,TMEM144,55314,ENSG00000164124
ce,Endo,ENPP2,5168,ENSG00000136960
ce,Endo,KLK6,5653,ENSG00000167755
ce,Endo,ERMN,57471,ENSG00000136541
ce,Endo,RNASE1,6035,ENSG00000129538
ce,Endo,PLP1,5354,ENSG00000123560
ce,Endo,OPALIN,93377,ENSG00000197430
ce,Endo,CNDP1,84735,ENSG00000150656
ce,Endo,FOLH1,2346,ENSG00000086205
ce,Endo,UGT8,7368,ENSG00000174607
ce,Endo,CNP,1267,ENSG00000173786
ce,Endo,PLEKHB1,58473,ENSG00000021300
ce,Endo,MAL,4118,ENSG00000172005
ce,Endo,GPR37,2861,ENSG00000170775
ce,Endo,NR4A2,4929,ENSG00000153234
ce,Endo,B3GNT7,93010,ENSG00000156966
ce,Endo,GPNMB,10457,ENSG00000136235
ce,Endo,GLYCTK,132158,ENSG00000168237
ce,Endo,GJB1,2705,ENSG00000169562
ce,Endo,PAQR6,79957,ENSG00000160781
ce,Endo,GSN,2934,ENSG00000148180
ce,Endo,ABCA8,10351,ENSG00000141338
ce,Endo,FA2H,79152,ENSG00000103089
ce,Endo,CARNS1,57571,ENSG00000172508
ce,Endo,MOBP,4336,ENSG00000168314
ce,Endo,MBP,4155,ENSG00000197971
ce,Endo,CLDN11,5010,ENSG00000013297
ce,Endo,RRBP1,6238,ENSG00000125844
ce,Endo,OLFML2B,25903,ENSG00000162745
ce,Endo,HPGD,3248,ENSG00000164120
ce,Endo,DSP,1832,ENSG00000096696
ce,Endo,AOX1,316,ENSG00000138356
ce,Endo,ANKRD13A,88455,ENSG00000076513
ce,Endo,SEMA5A,9037,ENSG00000112902
ce,Endo,CDC14A,8556,ENSG00000079335
ce,Endo,PRRX1,5396,ENSG00000116132
ce,Endo,ZFHX3,463,ENSG00000140836
ce,Endo,CRISPLD2,83716,ENSG00000103196
ce,Endo,FLT1,2321,ENSG00000102755
ce,Endo,CEBPD,1052,ENSG00000221869
ce,Endo,GNG11,2791,ENSG00000127920
ce,Endo,PEAR1,375033,ENSG00000187800
ce,Endo,FERMT1,55612,ENSG00000101311
ce,Endo,RCSD1,92241,ENSG00000198771
ce,Endo,TGM2,7052,ENSG00000198959
ce,Endo,ITIH5,80760,ENSG00000123243
ce,Endo,APOLD1,81575,ENSG00000178878
ce,Endo,EDN3,1908,ENSG00000124205
ce,Endo,SDPR,,
ce,Endo,FOXC1,2296,ENSG00000054598
ce,Endo,IFI27,3429,
ce,Endo,ESAM,90952,ENSG00000149564
ce,Endo,GPR116,,
ce,Endo,ANXA1,301,ENSG00000135046
ce,Endo,MYH11,4629,
ce,Endo,ITGA1,3672,ENSG00000213949
ce,Endo,RGS5,8490,ENSG00000143248
ce,Endo,ZNF703,80139,ENSG00000183779
ce,Endo,CCDC88C,440193,ENSG00000015133
ce,Micro,ST8SIA4,7903,ENSG00000113532
ce,Micro,KIAA0226L,,
ce,Micro,CSF1R,1436,ENSG00000182578
ce,Micro,LAPTM5,7805,ENSG00000162511
ce,Micro,CD14,929,ENSG00000170458
ce,Micro,RGS10,6001,ENSG00000148908
ce,Micro,PTPRC,5788,
ce,Micro,C3,718,ENSG00000125730
ce,Micro,C3AR1,719,ENSG00000171860
ce,Micro,ALOX5AP,241,ENSG00000132965
ce,Micro,HLA-DRA,3122,
ce,Micro,BCL2A1,597,ENSG00000140379
ce,Micro,PLEK,5341,ENSG00000115956
ce,Micro,ITGAX,3687,ENSG00000140678
ce,Micro,DHRS9,10170,ENSG00000073737
ce,Micro,OLR1,4973,ENSG00000173391
ce,Micro,CD53,963,ENSG00000143119
ce,Micro,LCP1,3936,ENSG00000136167
ce,Micro,CD74,972,ENSG00000019582
ce,Micro,CD83,9308,ENSG00000112149
ce,Micro,A2M,2,ENSG00000175899
ce,Micro,GAB3,139716,ENSG00000160219
ce,Micro,CMKLR1,1240,ENSG00000174600
ce,Micro,TREM1,54210,ENSG00000124731
ce,Micro,GALR1,2587,ENSG00000166573
ce,OPC,LRRK2,120892,ENSG00000188906
ce,OPC,LRMP,,
ce,OPC,MSR1,4481,ENSG00000038945
ce,OPC,AGPAT9,,
ce,OPC,IL1RAP,3556,ENSG00000196083
ce,OPC,IFITM10,402778,
ce,OPC,PCDH15,65217,ENSG00000150275
ce,OPC,KIAA0226L,,
ce,OPC,CSF1R,1436,ENSG00000182578
ce,OPC,LAPTM5,7805,ENSG00000162511
ce,OPC,CD14,929,ENSG00000170458
ce,OPC,RGS10,6001,ENSG00000148908
ce,OPC,PTPRC,5788,
ce,OPC,C3,718,ENSG00000125730
ce,OPC,C3AR1,719,ENSG00000171860
ce,OPC,ALOX5AP,241,ENSG00000132965
ce,OPC,HLA-DRA,3122,
ce,OPC,BCL2A1,597,ENSG00000140379
ce,OPC,PLEK,5341,ENSG00000115956
ce,OPC,ITGAX,3687,ENSG00000140678
ce,OPC,DHRS9,10170,ENSG00000073737
ce,OPC,OLR1,4973,ENSG00000173391
ce,OPC,CD53,963,ENSG00000143119
ce,OPC,LCP1,3936,ENSG00000136167
ce,OPC,CD74,972,ENSG00000019582
ce,OPC,CD83,9308,ENSG00000112149
