,5HT1a,5HT1b,5HT2a,5HT4,5HT6,5HTT,A4B2,CB1,CBF,CMRglu,COX1,D1,D2,DAT,FDOPA,GABAa,GI,H3,HDAC,M1,mGluR5,MU,NET,NMDA,SV2A,TSPO,VAChT
rh_G_Ins_lg&S_cent_ins_thickness,3.228919744491577,-0.09201623499393463,0.9754738211631775,2.0980513095855713,0.7202728986740112,3.6147210597991943,-0.213670015335083,1.9541362524032593,0.4370036721229553,-1.280989408493042,-0.38551732897758484,1.9867950677871704,2.988856554031372,2.535219669342041,1.2634023427963257,0.2671685516834259,-2.0848355293273926,2.074557065963745,0.3375759720802307,1.3961633443832397,1.430853009223938,1.174804925918579,0.5997349619865417,1.2083641290664673,0.6608009338378906,1.4627916812896729,1.906541347503662
rh_G_insular_short_thickness,2.7015268802642822,1.3249706029891968,1.1761988401412964,1.7239845991134644,1.0569417476654053,2.496199131011963,0.34347841143608093,1.9881144762039185,1.1808415651321411,-0.08057435601949692,-0.770048975944519,1.9118261337280273,1.856392502784729,1.9134528636932373,0.8930487632751465,1.0319888591766357,-0.6763631105422974,2.0439536571502686,0.9721753001213074,1.368324875831604,2.1409590244293213,1.528981328010559,0.5905963182449341,1.8695403337478638,1.1082943677902222,0.9063575267791748,1.210663914680481
rh_G_occipital_middle_thickness,-0.7016267776489258,0.8916893005371094,-0.535881757736206,-0.47337275743484497,0.06495728343725204,-0.8533573746681213,0.5698257088661194,0.2253364473581314,-1.2028751373291016,-0.282015860080719,1.1481112241744995,-1.0566014051437378,0.12615732848644257,-0.7710402607917786,-1.09567129611969,1.06013822555542,-0.1637975424528122,-0.22913718223571777,1.3084299564361572,1.446339726448059,0.17952583730220795,-0.6689093112945557,0.7369682788848877,0.26194658875465393,1.3949702978134155,-0.9869059324264526,-0.6845168471336365
rh_G_occipital_sup_thickness,-1.350115180015564,0.49113184213638306,-1.4266412258148193,-1.433211088180542,-0.023790981620550156,-1.0014173984527588,0.1942526251077652,-0.6514443159103394,-0.12106350809335709,0.27524399757385254,1.887500524520874,-1.5928235054016113,-0.555168867111206,-1.331437587738037,-1.5834625959396362,0.015364747494459152,-0.3772841989994049,-0.7719538807868958,0.2902477979660034,0.8155505657196045,-0.5277958512306213,-1.5407862663269043,0.5295079350471497,-0.7828995585441589,0.6739494204521179,-1.613905668258667,-1.0562301874160767
rh_G_oc-temp_lat-fusifor_thickness,0.5065564513206482,-0.5989968776702881,0.7326329946517944,0.6570179462432861,0.07549384236335754,0.073463074862957,0.17254985868930817,0.4391030967235565,-0.0809050127863884,-0.2603329122066498,-0.21207258105278015,0.9212271571159363,0.6075374484062195,0.1960391402244568,0.7356404066085815,0.4360528588294983,-1.8005356788635254,-0.24486590921878815,0.63323575258255,0.06906238198280334,-0.28736647963523865,-0.4027276337146759,-0.10315556079149246,-0.36562174558639526,1.0641363859176636,0.9146386981010437,-1.0100159645080566
rh_G_oc-temp_med-Lingual_thickness,-0.7385328412055969,0.38242167234420776,0.2449754923582077,-0.48383405804634094,-0.7287372946739197,0.22585788369178772,-1.1983977556228638,-1.5402427911758423,1.315385103225708,0.7125236392021179,2.2695727348327637,0.3065668046474457,-1.058717966079712,-0.11784184724092484,0.11624713242053986,1.3952914476394653,-2.4630908966064453,-0.7808859944343567,1.0676395893096924,-0.45819127559661865,-0.9076191782951355,-2.0201988220214844,-0.9331362843513489,0.020566832274198532,0.25530171394348145,0.604500949382782,-1.6298736333847046
rh_G_oc-temp_med-Parahip_thickness,1.3604696989059448,-2.3803911209106445,-1.2103079557418823,0.1205357015132904,-2.5532214641571045,1.5653516054153442,-1.2875666618347168,-0.8914691805839539,-1.5891971588134766,-2.478537082672119,-0.7900171279907227,-1.3658483028411865,0.19101499021053314,0.4865626096725464,0.6291816830635071,-1.7225632667541504,-1.9069557189941406,-0.6241359114646912,-2.5792834758758545,-2.0909616947174072,-2.334329605102539,-0.6688004732131958,-1.9938130378723145,-3.352221727371216,-1.4315510988235474,0.8954945206642151,-0.905865490436554
rh_G_orbital_thickness,1.2034722566604614,0.39829638600349426,1.7785699367523193,1.3713940382003784,-0.725111722946167,0.9516056180000305,0.3741382658481598,0.7932303547859192,-0.07978134602308273,0.1128585934638977,-0.6507973074913025,0.8246316909790039,0.06301091611385345,-0.0604795441031456,-1.0721707344055176,0.24544015526771545,0.4327700734138489,0.6103215217590332,0.8546271324157715,0.5731912851333618,-0.31669726967811584,1.100982427597046,-0.6406064629554749,0.2776145339012146,0.616509735584259,1.1128926277160645,0.3640536367893219
rh_G_pariet_inf-Angular_thickness,-0.8665001392364502,0.8923463821411133,-1.008925437927246,-0.8237115144729614,1.0270684957504272,-1.1590442657470703,1.6579837799072266,0.8470037579536438,0.05453787371516228,0.5344062447547913,-0.07544664293527603,-0.07709861546754837,0.45302698016166687,-1.0108391046524048,-1.2206816673278809,0.9008647799491882,0.5639171600341797,0.21807192265987396,1.4091655015945435,1.383959412574768,0.9957756996154785,0.4627171456813812,0.9216243028640747,-0.09046946465969086,1.4442884922027588,-1.0734281539916992,-0.6528423428535461
rh_G_pariet_inf-Supramar_thickness,0.21758052706718445,0.6291514039039612,0.30703070759773254,0.6222900152206421,0.0964561179280281,-0.3931728005409241,0.5895694494247437,0.6805640459060669,0.13549131155014038,-0.2881999611854553,-0.6566547155380249,-0.1253756284713745,0.19277775287628174,-0.6810137629508972,-1.030454158782959,0.4526616632938385,-0.6354049444198608,0.10027385503053665,0.7616230249404907,1.0443207025527954,1.0436341762542725,0.6014052629470825,1.0688982009887695,-0.24391740560531616,1.15765380859375,-1.2677608728408813,-0.12485237419605255
rh_G_parietal_sup_thickness,-1.1604735851287842,-0.26012057065963745,-1.4201265573501587,-1.2880744934082031,0.03528744727373123,-1.2322109937667847,0.10633514821529388,-0.40776729583740234,-0.28441622853279114,0.25745365023612976,-0.8815314769744873,-1.3297489881515503,-0.5746747851371765,-1.7897342443466187,-1.6117041110992432,-0.8304086923599243,0.3791189193725586,-0.3467647433280945,-0.01563534513115883,0.3144536018371582,-0.2981037497520447,-0.287716269493103,0.5218619108200073,-1.295435905456543,0.41466838121414185,-2.3533437252044678,-1.1096595525741577
rh_G_postcentral_thickness,-0.6923477053642273,0.09636741131544113,-0.9910135269165039,-1.0400259494781494,-0.8950384259223938,-0.5957764983177185,0.1682526171207428,-0.2801468074321747,-0.06767696887254715,0.19602428376674652,-0.877068042755127,-2.0766077041625977,-0.8355703353881836,-1.4587715864181519,-2.2377426624298096,-0.15741370618343353,-0.1399926245212555,0.05001070350408554,-0.1722358614206314,0.20865246653556824,-0.8790770173072815,-1.0062024593353271,2.0689327716827393,-0.83262038230896,0.35558274388313293,-2.472538948059082,-0.23466089367866516
rh_G_precentral_thickness,-0.7105479836463928,0.4796777665615082,-0.6552556753158569,-0.9238178133964539,-0.5422085523605347,-0.7681242823600769,1.1928097009658813,-0.22561492025852203,0.18587251007556915,0.39811819791793823,-1.507637858390808,-1.8820754289627075,-0.9423255920410156,-1.4431102275848389,-2.169039249420166,-0.663314938545227,0.4137986898422241,0.44940271973609924,0.048217400908470154,-0.21158680319786072,-0.8656527400016785,-0.3347057104110718,1.6629633903503418,-0.2646145224571228,-0.07128056138753891,-2.025975227355957,0.6146806478500366
rh_G_precuneus_thickness,-0.41599199175834656,-0.19804972410202026,0.09809081256389618,0.09847449511289597,0.7183836102485657,-0.49110937118530273,0.3092910349369049,-0.1536654829978943,1.074913501739502,1.1073559522628784,-0.4900510907173157,-0.1421385109424591,-0.46903353929519653,-1.0678203105926514,-0.051584213972091675,0.40533867478370667,0.3311857581138611,0.04817425087094307,0.5276550650596619,0.7518799901008606,0.8551810383796692,-0.1178864985704422,0.3573702275753021,0.009513779543340206,0.7656633257865906,-0.521578848361969,-0.4411378800868988
rh_G_rectus_thickness,0.9269779920578003,-0.1080578863620758,0.8812709450721741,1.0051673650741577,-1.2820817232131958,0.2999894618988037,-0.31779956817626953,1.0307334661483765,0.3753640651702881,-0.05169958621263504,-1.3831032514572144,1.6473616361618042,-0.05091169849038124,0.037967875599861145,-0.6629356145858765,0.033253636211156845,-0.253758043050766,0.9341487884521484,0.7078562378883362,0.7370147109031677,0.1550620198249817,1.2313460111618042,-1.319183111190796,0.4033416509628296,0.970794141292572,0.5025298595428467,0.09915494173765182
rh_G_subcallosal_thickness,-1.1499758958816528,-0.7926374673843384,-2.045999765396118,-1.6746149063110352,-0.570076584815979,-0.6740816831588745,-0.8069275617599487,1.19767165184021,0.29414084553718567,-1.0547946691513062,-0.5579485297203064,1.8899426460266113,1.667620301246643,3.8305041790008545,2.166189670562744,-0.0646328255534172,-1.6112772226333618,2.769216775894165,-0.6946917176246643,0.6758056282997131,0.8656519651412964,1.057474136352539,-1.313990592956543,-0.3031739592552185,0.3534708023071289,0.4755805432796478,0.8825905323028564
