,ni1-SV2A-M1-mGluR5-5HT6-CB1-GABAa-HDAC,ni2-5HT2a-5HT4-5HT1a-5HTT,ni3-FDOPA-DAT-D1-NMDA,ni4-GI-5HT1b-MU-A4B2,ni5-VAChT-NET,ni6-CBF-CMRglu,ni7-COX1,ni8-H3,ni9-D2,ni10-TSPO,ce1-Ex7-In4-Ex5-Ex4-In1,ce2-Oligo-Endo,ce3-Micro-OPC,ce4-In3-In2-Astro,ce5-In6-Ex2,ce6-Ex8-Ex6,ce7-In7-Ex3,ce8-In5,ce9-In8,ce10-Ex1,mr1-myelin
lh_lingual,-0.6754906678548052,-0.12371520474704435,-0.2563343566240958,-0.984612137824014,-1.1463191751645565,0.9408927579538342,1.7953308892696926,-0.09123775745614572,1.3804336001241946,0.6858031433437672,-1.5841268359595846,-0.8009370170642449,-0.7252252200008883,-1.0605263121525796,-0.5915592156404698,-1.3233551825199346,1.684982053488601,-0.591459293104026,-0.47493186407049554,-1.5378127707288332,1.0813956697286788
lh_medialorbitofrontal,0.41898676470275653,0.26436513661236005,0.7625707008602812,0.31326510535839586,-0.5609983339478881,-0.21722252550062907,-1.0709576594384813,1.4457547714390697,0.7073510041546481,0.8447924973921964,1.326854890048958,-1.0086739709184946,0.8228004059341376,0.9625329269054496,-0.007950890809552424,0.36690114273680413,-0.8542773717333251,-0.17321276783048453,0.45322974925125176,0.23119127013492305,-0.9308009740136046
lh_middletemporal,0.3335484190172716,0.5007176446845748,0.38210888228102335,0.22006782293611124,-0.3591066614762511,-0.7393112756313002,-0.5963525908551482,-1.245995884938375,-0.8896700332499389,0.14297155535497622,0.5860238930572159,-0.26271707766991137,-0.16828012951520802,-0.37363276040996496,-0.9260028356367672,-0.2997485177861156,-0.17201221011573503,0.8822676596944502,-0.6969596233449652,0.6062274755926896,-0.4879290735034021
lh_parahippocampal,-1.8229522560380582,0.028919383530411454,-0.35691537504415194,-2.510866571539353,-1.505218756130902,-1.4426148369319767,-0.2593917831143247,0.6642320274146679,-1.4919916734852219,1.7076470077699324,0.3886898562755358,0.17602436937955024,1.6961233692509319,0.1989469500961606,-1.9750931866405919,-0.6290284170488581,0.3882326906666972,-2.027381480190132,-0.8220847643614438,0.0593369152593166,0.2559391839252337
lh_paracentral,-0.27049835883791945,-0.9051605453864009,-0.9624623673462271,-0.3194345543391036,1.1774058157228744,0.2715771615412723,-0.6487235542407576,-0.13522539070426473,-0.25153085510946216,-0.3802717886436901,-0.010784225340474192,0.10909733837832457,-0.18054399314530986,0.39913569126165815,0.5062943393862707,0.34206845129975166,-0.5179749210767821,-0.8329669510646711,-0.9791468989182097,-0.6332091587333379,0.4300256129326928
lh_parsopercularis,0.18905972809434293,0.4196054195755759,0.6073275743970782,0.8228694382786542,0.5516297837857846,0.7163914087575105,-0.39373059968427565,-0.24945771693245777,0.24208687491900716,-0.3027889202417706,0.36881955854908655,-0.11561239474046216,0.1874268727380074,-0.4953873751424252,0.4002246323496827,0.7821038098085588,0.17640762623427797,0.2536467719999458,-0.07122595360527137,-0.052762511409297566,-0.353100342707183
lh_parsorbitalis,-0.0260412113423013,1.0828775131604538,0.11025905675525939,0.8718652858676051,-0.37220702100142883,-0.3161610588245937,-0.4368172776793079,0.7721572227081953,0.371661558929625,1.4110849372534469,0.7087337854480261,-0.7598348274818943,0.548809302250043,0.20761715410117026,0.42163529117986004,-0.020487317392756547,-0.18663381939848125,0.5653985835630414,0.47494709270330576,-0.5874177339158252,-0.680060792142857
lh_parstriangularis,-0.021597886759347346,-0.005214833293156011,0.41577667965585285,0.9718031397156713,0.41762130013010357,0.3182928578712475,-0.099742836284517,-0.31114261381346214,-0.004518126036048695,0.41180683222347353,0.624651981388468,-0.0958352526396621,0.0426043103429721,0.11310980251293938,0.8668616531213457,1.1950172135803765,0.33164746992048766,0.5926040322576124,0.726563991717004,-0.6387147931717083,-0.29530444804878053
lh_pericalcarine,-0.18138705943979774,-0.0005123456322846522,-0.48151814149034067,-0.7267692686264569,-0.626202963538599,0.8555982175437076,2.5973498578062544,-0.15463119823355978,1.5877068244308785,-0.5971588552346251,-1.3344689595272718,-0.25686612294052774,-0.9767184036160378,-1.0929182894201546,-0.24973369224554243,-0.9495783741700402,1.3077991117497154,-0.4890450210680519,0.2292957155502003,-1.9964384602873593,1.3077445452173904
lh_postcentral,-0.3257994231596943,-1.082893983500506,-1.1407878128087143,-0.12104479134627567,0.950928597608095,0.17259503021813521,0.08353482730688708,-0.39293436366247186,-0.6474662175226283,-0.40143716191139656,-0.9296671839747427,0.07799336672839507,0.13331864016271072,-0.7097773695955488,0.4111348053201792,-0.4726258128307259,0.6405060823160714,-0.4076014998718954,-0.32590988378533176,-0.826649995188119,0.9128546379386699
lh_posteriorcingulate,-0.23389886804301088,-0.9342800631096514,0.26041867632258786,-0.2591439462634695,0.9118455039145622,-0.5479862446313919,-0.6206936964246118,0.4135387915438044,0.6200158657846409,0.6522962269845178,0.6005313024873955,-0.15630947158814346,-0.1368648403362954,1.3241894524540516,0.47163487043723523,0.6958922390127157,-0.37794767679632046,-0.6933107440562409,-0.7614246596403158,0.021534664356599877,-0.5542008435222228
lh_precentral,-0.8210686679443205,-0.7487267046653346,-0.9290389923192325,0.23091544278886195,1.0096784004789738,0.48837634486568926,-0.06425791021285374,-0.5303945923780452,-0.4085819424653427,-0.43244207596043643,-0.5690973093678804,0.7600834350594834,0.1602921427415145,-0.7144635778700777,0.43348697666851504,0.2296926034942365,0.5483006253608391,-1.078534018209819,-1.1003669931180806,-0.6731793780263796,0.9136618730074019
lh_precuneus,0.6100116674682107,-0.0018132198635284823,0.06092939907325534,0.08130396463912988,0.21094521791148757,0.988262438347752,0.014108050678275507,-0.7654318346936414,0.7673045866270176,-0.19676266782057222,-0.2828437948393789,-0.4035960378434438,-1.133705341143843,-0.04611749535499097,0.038017088483112166,-0.25050912095517147,-0.3510133718438124,-0.08695118574458309,-0.5803081095033259,0.22932607817911366,0.19044242836086978
lh_rostralanteriorcingulate,0.6268070018981249,0.03163135236129197,1.307573602948518,0.4586165313958812,0.37523399911473543,-0.38190385496958645,-0.785396049609821,1.0402525775373286,0.30339981550308287,0.8118315662525668,1.387799799781964,-0.2262256443499581,0.7798891169421059,1.5685504402723849,-0.003946862428223384,1.334542565073497,-1.850667199468609,-1.1528704215283623,-0.6405719938480292,-0.47168479221992393,-1.3383752933333308
lh_rostralmiddlefrontal,-0.3860901680868751,-0.5919832679644342,-0.29238425892243397,1.3517226244822997,-0.12675845485653708,0.2842206403364315,-0.29804477398676765,0.024411872409369983,0.04280726482006756,-0.16467593899224878,0.07359072738797406,0.26379623170859157,-0.3117069571220148,0.34928073342788946,1.0980807643872732,0.21773405615642122,-0.8259044357332038,-0.05394214630686253,0.5556029084608586,0.42864862336502013,-0.5377174402966105
lh_superiorfrontal,-0.09678109302969831,-0.2306326438274644,-0.3784987779055035,0.5282019331567257,0.38865432093233276,-0.043415629484913044,-0.7748468152657499,0.32517371338327905,0.18842042476664309,-0.4265267239429425,0.6937645603845697,-0.001693029185463222,-0.12345876540585685,0.5787719044676554,0.8527512415199093,0.9224845513089709,-0.7680338684919473,-0.774217771193102,0.08130428475548754,0.0408765674993287,-0.5907098572595569
lh_superiorparietal,-0.21376934365056977,-1.1321861390142416,-0.9881645281201505,0.05778601827517585,-0.2822779557430679,0.325867679453174,0.027259188691630177,-0.9071110443778243,-0.15577139202097448,-1.1169062248774975,-0.7220599570469888,-0.4733278528922094,-0.6564287903489241,-0.4158469359483542,0.2715219888733499,-1.0167621692805449,-0.289038611837435,-0.1436826083728271,0.2049704195933999,-0.08412347394300974,0.2953011957388643
lh_superiortemporal,0.06166666341695159,1.0101703490202785,0.3322188161931896,-0.3850556692924046,0.089452665217648,-0.5403897565185684,-0.39899583664541755,-0.28159162372501606,-0.9630113037543061,0.11305537559518519,0.19158462259796452,-0.332938568570816,0.10509481513010455,-0.43637181601533587,-0.6381639363922847,-0.34804576532932907,0.26405002576115383,0.8675443026552654,-0.2517363016604383,0.7701032280516344,-0.008360833710407215
lh_supramarginal,0.4519987451890403,-0.3359795053770763,-0.33070494591454186,0.33751861548129886,0.28701598149839275,-0.2159655931896176,-0.3638477177294851,-0.1810754958019843,-0.21478608295385937,-0.18420906315472904,-0.26788390629513764,-0.3285417123849757,-0.19470674656362885,-0.4664499929288269,-0.1066973957407975,-0.7796933602810074,-0.22250033876406988,0.33745932935686646,-0.2823023642008671,0.3872583912695685,-0.09310988566361927
