,mGluR5-abp688-73-smart2019.nii.gz,mGluR5-abp688-13-kaulen2022.nii.gz,D2-flb457-55-sandiego2015.nii.gz,mGluR5-abp688-28-dubois2015.nii.gz,VAChT-feobv-4-tuominen.nii.gz,D2-flb457-37-smith2019.nii.gz,VAChT-feobv-18-aghourian2017.nii.gz,mGluR5-abp688-22-rosaneto.nii.gz
lh_S_calcarine_thickness,-0.8346111178398132,-0.06647363305091858,-1.121462345123291,-0.7650744318962097,-0.3885457515716553,-1.2321757078170776,-1.0125176906585693,-1.0095638036727905
lh_S_central_thickness,-1.4870102405548096,-2.4846291542053223,-1.2463480234146118,-1.5764901638031006,1.025380253791809,-1.0815833806991577,1.3902385234832764,-1.3269517421722412
lh_S_cingul-Marginalis_thickness,0.7914353609085083,0.07999641448259354,-0.688838541507721,0.5174505710601807,0.09954660385847092,-0.44301822781562805,0.5238336324691772,0.15094614028930664
lh_S_circular_insula_ant_thickness,-0.2156972736120224,0.4401155412197113,1.1094366312026978,-0.002218938199803233,0.6537350416183472,3.0270309448242188,0.38452327251434326,0.13356995582580566
lh_S_circular_insula_inf_thickness,-0.8018984198570251,0.3023729920387268,2.291640520095825,-0.19578517973423004,2.6793205738067627,2.2347118854522705,1.8672162294387817,-0.6876140832901001
lh_S_circular_insula_sup_thickness,0.7651153206825256,0.4115985035896301,1.34036123752594,0.7587133646011353,2.7066915035247803,2.244694709777832,1.8321032524108887,0.7770108580589294
lh_S_collat_transv_ant_thickness,-0.20937512814998627,-0.0560372993350029,1.377142071723938,-0.9203407764434814,-0.19756373763084412,0.7160956263542175,-1.0442548990249634,-1.0514013767242432
lh_S_collat_transv_post_thickness,-1.2194803953170776,-0.8104084134101868,-0.4824293553829193,-1.2675929069519043,-1.3196330070495605,-0.48520955443382263,-1.2339770793914795,-1.1869531869888306
lh_S_front_inf_thickness,-0.23967349529266357,-1.4504350423812866,-0.9111816883087158,-0.18696990609169006,-0.5403656363487244,-1.0531039237976074,0.10133381932973862,0.15735399723052979
lh_S_front_middle_thickness,-0.38758382201194763,-0.7432816624641418,-0.35242950916290283,-0.24977336823940277,-0.3057023882865906,-0.8078016638755798,-0.2678450345993042,0.488019198179245
lh_S_front_sup_thickness,-0.5973712205886841,-1.2019990682601929,-0.8414767384529114,-0.4554300904273987,-0.5199810862541199,-0.8748383522033691,-0.2589111626148224,-0.06273713707923889
lh_S_interm_prim-Jensen_thickness,0.8331985473632812,-0.17587272822856903,0.6956796050071716,0.26424407958984375,-0.20410729944705963,0.5170143246650696,-0.17842994630336761,0.7862632870674133
lh_S_intrapariet&P_trans_thickness,-0.47651803493499756,-1.1728262901306152,-0.7066566944122314,-0.7064165472984314,-1.2088582515716553,-0.44679033756256104,-0.798742949962616,-0.44909563660621643
lh_S_oc_middle&Lunatus_thickness,-1.4676392078399658,-1.460207223892212,-0.8314627408981323,-1.2215909957885742,-0.7390707731246948,-0.5597409605979919,-1.1690359115600586,-0.7598149180412292
lh_S_oc_sup&transversal_thickness,-1.0854966640472412,-0.6327604651451111,-0.9129686951637268,-1.047837257385254,-0.9790586829185486,-0.5753028988838196,-1.0677549839019775,-0.8426235914230347
lh_S_occipital_ant_thickness,-0.08813471347093582,-0.0067826444283127785,-0.2241797000169754,-0.3887633681297302,-0.39387863874435425,-0.3418382406234741,-0.45265212655067444,-0.3501760959625244
lh_S_oc-temp_lat_thickness,-0.5095182061195374,-0.15836280584335327,0.005568493157625198,-1.032738208770752,-0.5223924517631531,-0.17435990273952484,-1.0239955186843872,-0.5505059361457825
lh_S_oc-temp_med&Lingual_thickness,-0.0001783978659659624,0.8942839503288269,0.619801938533783,-0.2615446150302887,-0.2672383785247803,0.17696988582611084,-0.8311585187911987,-0.4355124831199646
lh_S_orbital_lateral_thickness,-0.29770249128341675,-1.2454904317855835,0.0027814435306936502,0.2869094908237457,-0.17306987941265106,-0.644055187702179,0.20303957164287567,0.9220344424247742
lh_S_orbital_med-olfact_thickness,0.1891264021396637,0.5757883787155151,0.8251028060913086,-0.018236514180898666,1.7115278244018555,1.3444808721542358,0.8482540845870972,0.5164574980735779
lh_S_orbital-H_Shaped_thickness,-0.88032066822052,-0.568149745464325,-0.3634715676307678,-1.0612326860427856,0.26578933000564575,-0.6762785911560059,-0.6067643165588379,-0.6360942125320435
lh_S_parieto_occipital_thickness,0.4270860254764557,0.24188052117824554,-0.5841370224952698,0.07649120688438416,-0.6841171979904175,-0.6772323846817017,-0.7722303867340088,-0.23097968101501465
lh_S_pericallosal_thickness,-2.6455135345458984,-1.840771198272705,-1.5736356973648071,-2.301241636276245,-1.0627000331878662,-1.4534612894058228,0.2983659505844116,-2.807750940322876
lh_S_postcentral_thickness,-0.36476776003837585,-1.2900804281234741,-0.5277334451675415,-0.8037328124046326,-0.6497824788093567,-0.388609379529953,-0.1264437884092331,-0.5086535811424255
lh_S_precentral-inf-part_thickness,-0.21469548344612122,-0.9992123246192932,-0.8904334902763367,0.021828707307577133,-0.36163997650146484,-1.0025790929794312,0.3732511103153229,0.07826963067054749
lh_S_precentral-sup-part_thickness,-0.8655514121055603,-1.5244096517562866,-1.2513259649276733,-0.95774906873703,-0.014004209078848362,-1.0992095470428467,0.35526713728904724,-0.486298143863678
lh_S_suborbital_thickness,1.4195557832717896,2.252514600753784,0.2312970906496048,1.9066033363342285,0.8051968216896057,0.11736437678337097,0.2779953181743622,1.9047495126724243
lh_S_subparietal_thickness,1.3142285346984863,0.6189069151878357,-0.3652868866920471,1.0157830715179443,-0.14287146925926208,-0.41728171706199646,0.31875211000442505,1.0970134735107422
lh_S_temporal_inf_thickness,-0.3767450749874115,-0.4453151226043701,0.6846395134925842,-0.4808599352836609,-0.3937406837940216,-0.10754449665546417,-0.7711730003356934,-0.47537118196487427
lh_S_temporal_sup_thickness,-0.05300959572196007,-0.11151443421840668,0.3699757754802704,0.02494485303759575,-0.26378604769706726,0.21564821898937225,-0.15706531703472137,0.18387623131275177
lh_S_temporal_transverse_thickness,-0.18318724632263184,-0.350742906332016,-0.21191267669200897,0.21889977157115936,0.9672797322273254,-0.7529695630073547,1.617118239402771,0.4168074429035187
rh_G&S_frontomargin_thickness,-0.3312324285507202,0.009613137692213058,-0.2144884318113327,0.2175343632698059,-0.5265898108482361,-0.03576863184571266,-0.255485475063324,1.0424282550811768
rh_G&S_occipital_inf_thickness,-0.5297472476959229,0.7798730134963989,0.12129698693752289,-0.31042060256004333,-0.8581934571266174,0.20182974636554718,-1.024171233177185,0.00625199731439352
rh_G&S_paracentral_thickness,-1.1419575214385986,-2.19441819190979,-1.341829776763916,-1.646124005317688,0.6279154419898987,-1.0290915966033936,0.6438652873039246,-1.2152999639511108
rh_G&S_subcentral_thickness,1.3685216903686523,0.6065779328346252,0.0037211382295936346,1.0764819383621216,0.896601676940918,-0.07833146303892136,1.025607705116272,1.1129242181777954
rh_G&S_transv_frontopol_thickness,-0.01887665130198002,-0.027354642748832703,-0.44479361176490784,0.3914729058742523,-0.20649926364421844,-0.06878054887056351,-0.5681545734405518,0.9630528092384338
rh_G&S_cingul-Ant_thickness,1.4306418895721436,1.565478801727295,0.23554787039756775,1.5162338018417358,0.48304831981658936,-0.07878895848989487,0.3096047639846802,1.3773008584976196
rh_G&S_cingul-Mid-Ant_thickness,0.9410426020622253,0.6655799150466919,-0.17798888683319092,1.1806062459945679,1.5648006200790405,-0.1891728639602661,2.0113492012023926,0.8321826457977295
rh_G&S_cingul-Mid-Post_thickness,0.5349947810173035,0.402275413274765,-0.8031673431396484,0.7075915336608887,1.451528787612915,-0.5951699018478394,2.6931493282318115,0.5864416360855103
rh_G_cingul-Post-dorsal_thickness,0.7901079654693604,1.2830724716186523,-1.006044626235962,1.0468997955322266,0.5902939438819885,-0.8227025270462036,0.7650849223136902,1.0395710468292236
rh_G_cingul-Post-ventral_thickness,-2.320913553237915,-1.5073744058609009,-1.8486276865005493,-2.31103253364563,-1.2192115783691406,-1.7161674499511719,-1.412818431854248,-3.0404953956604004
rh_G_cuneus_thickness,0.07583604753017426,-0.5336737036705017,-0.8616632223129272,-0.23165671527385712,-0.8318336606025696,-0.8595375418663025,-0.9777444005012512,-0.39458346366882324
rh_G_front_inf-Opercular_thickness,2.0498273372650146,1.1323142051696777,0.3171777129173279,1.6970397233963013,0.20315320789813995,0.07165297120809555,0.5843017101287842,1.0435051918029785
rh_G_front_inf-Orbital_thickness,0.05036137253046036,0.25282344222068787,-0.026726311072707176,0.9574825167655945,-0.7885288000106812,-0.4052881896495819,0.17982478439807892,0.8279139399528503
rh_G_front_inf-Triangul_thickness,0.36477741599082947,-0.19710053503513336,-0.2898794412612915,0.7384920120239258,-0.6304401159286499,-0.3828873038291931,0.11634577065706253,1.3476303815841675
rh_G_front_middle_thickness,0.526431679725647,-0.1607385277748108,-0.3202182352542877,0.47464221715927124,-0.32369378209114075,-0.21362702548503876,-0.4347343146800995,0.9148827195167542
rh_G_front_sup_thickness,-0.06063562259078026,-0.7985643744468689,-0.6260942816734314,-0.10497448593378067,-0.35170337557792664,-0.4546329379081726,-0.0152254244312644,-0.2492193579673767
