,ni1-SV2A-M1-mGluR5-5HT6-CB1-GABAa-HDAC,ni2-5HT2a-5HT4-5HT1a-5HTT,ni3-FDOPA-DAT-D1-NMDA,ni4-GI-5HT1b-MU-A4B2,ni5-VAChT-NET,ni6-CBF-CMRglu,ni7-COX1,ni8-H3,ni9-D2,ni10-TSPO
lh_G_temp_sup-G_T_transv_thickness,0.534706775431883,1.9606962394582519,0.9745290564233112,0.06460386465415643,2.0849595054511267,1.8648816524320797,0.7483330976175133,-0.23314397997551212,0.8982838405118541,0.5029369000788301
lh_G_temp_sup-Lateral_thickness,0.6911356059377752,1.8235793441164443,-0.11277692449038412,-0.06123274638579545,0.16556510481572456,-0.6165463070655306,-0.9322889728122595,-0.5814984722017351,-1.1319104530978301,0.273716942639438
lh_G_temp_sup-Plan_polar_thickness,-0.9202693241670244,1.0296656532086066,0.6602974181983853,-2.483828893363461,-1.3317431557288866,-2.9619196315927514,-0.9893215546570958,1.896386529029845,-3.3209626696847803,1.5352816851719862
lh_G_temp_sup-Plan_tempo_thickness,0.91953663918334,1.1269325177670453,0.1412121455763385,0.26605318192290917,0.7553690024303454,-0.13790927230126904,-0.2408178682851056,-0.47173229553885315,-0.28317563926873784,0.15070263841335824
lh_G_temporal_inf_thickness,0.5996409777580037,1.230152072764489,0.4654293383763517,-0.3902532342038028,-0.7208413751351951,-1.3939372076770042,-0.7272167158213568,-0.5879902485165833,-0.9337134204863549,-0.14105421861428388
lh_G_temporal_middle_thickness,0.8246969858369925,0.8230487325296498,0.3514961395995481,0.4512748383318857,-0.1394170405727259,-0.9173948522615991,-0.6316308321489366,-1.263291371349585,-0.9878638617405954,0.4301520101895346
lh_Lat_Fis-ant-Horizont_thickness,-0.5304704373537799,-0.18876284094531162,0.5999093258720857,0.20935404839872876,0.1424557870614308,0.18904020520947126,0.02403172075530989,-0.7649120864870398,0.6468823879387918,1.0036972701005877
lh_Lat_Fis-ant-Vertical_thickness,0.9503485271815014,1.0002552770663597,1.0793210270205686,0.5517906611402463,0.6780485719443479,0.5520634129448329,-0.007330451505161428,0.1440776689544842,0.6530472764215565,0.006402832675645037
lh_Lat_Fis-post_thickness,-1.9010087956184765,-0.20310961727344048,0.19068449312766744,-1.281429194101727,-0.0012741813878241678,0.19768167258668332,0.5586071531577979,-0.6063680149778892,0.15854713757642483,-1.62734009975984
lh_Pole_occipital_thickness,0.17224304485552522,-1.5064784006717031,-1.7053299636136008,-0.38801669987852955,-0.7645779299192745,-0.4548077063197137,3.1626758536744344,0.4522190034265338,0.4198334587651696,-2.4354223678970293
lh_Pole_temporal_thickness,-0.4697553697329388,1.387697826339307,0.832206928773908,-1.3026718896606821,-2.0427605158743907,-2.0945846024807464,-1.352613681448946,0.6343011480924523,-2.8383877550111545,1.9225180960020585
lh_S_calcarine_thickness,-0.29027577698864426,0.12503477255954223,-0.45997511366042,-0.8111531178108601,-0.6577434465239568,0.7629850883167699,2.454596226336573,-0.15277019001984002,1.6240501641250962,-0.5770442069192381
lh_S_central_thickness,-1.6166066019560184,-1.0895091614268777,-1.0184272040175315,-0.5018607942500573,1.2909046208295472,1.1327520092470176,0.8630959784516927,-0.869103428981701,-0.5267690716743252,-0.35584931649288676
lh_S_cingul-Marginalis_thickness,0.31902935453083975,-0.6410740263764094,0.020893213285334344,-0.15829657742047018,0.7851524809007768,-0.2836744185334418,-0.6602989119317907,-0.06594653142856167,0.1341693200706613,-0.4796975658905108
lh_S_circular_insula_ant_thickness,-0.3781830407647836,0.5905772751121715,1.7623753002787401,0.28390034834699973,-0.06984447625878062,-0.2065753450020802,-0.38226349122137654,0.6334903140968942,-0.816791898418078,0.12973904659880758
lh_S_circular_insula_inf_thickness,-0.1826780320513025,0.7061661080467657,1.36483396803523,-1.1725227515977399,0.15529833328574938,-1.457232309569056,0.1529695995867036,1.4128953609882222,-2.097387991964405,0.7019987042153905
lh_S_circular_insula_sup_thickness,-0.14649360343782342,-0.13380220532034953,1.8256202020327688,0.10545386142801139,0.6907375051777069,0.028718570177544867,-0.33951322564374276,-0.5166386998651047,-0.5312752720442377,-2.217984765412172
lh_S_collat_transv_ant_thickness,-0.19144942995014003,-0.07560970172671579,0.8230555519444589,-0.9874409459573877,-1.1494816775859853,-1.4486982397558283,-0.7200748411940018,-0.7939414925079336,-2.1495124649334523,0.2476234038580835
lh_S_collat_transv_post_thickness,-0.1663856616355343,-1.4504568723080473,-0.6821142918550409,-0.9121007413348038,-0.9847026586022446,0.1348777489600331,1.8249642212606234,-0.5872182596271828,-0.1364013920968588,0.5843860351259611
lh_S_front_inf_thickness,-1.4398727428480291,-0.7383402819151432,0.09289513025698501,0.7679683718216219,-0.14975491134344035,1.1766994287116392,-0.13626305666079522,-0.8642512352568669,0.41607895113135257,-0.7750096285850765
