,ni1-5HT1a,ni2-5HT1b,ni3-5HT2a,ni4-5HT4,ni5-5HT6,ni6-5HTT,ni7-A4B2,ni8-CB1,ni9-CBF,ni10-CMRglu,ni11-COX1,ni12-D1,ni13-D2,ni14-DAT,ni15-FDOPA,ni16-GABAa,ni17-GI,ni18-H3,ni19-HDAC,ni20-M1,ni21-mGluR5,ni22-MU,ni23-NET,ni24-NMDA,ni25-SV2A,ni26-TSPO,ni27-VAChT,ce1-Ex1,ce2-Ex2,ce3-Ex3,ce4-Ex4,ce5-Ex5,ce6-Ex6,ce7-Ex7,ce8-Ex8,ce9-In1,ce10-In2,ce11-In3,ce12-In4,ce13-In5,ce14-In6,ce15-In7,ce16-In8,ce17-Astro,ce18-Endo,ce19-Micro,ce20-OPC,ce21-Oligo,mr1-myelin
lh_G_cuneus_thickness,-1.0402309894561768,1.4978582859039309,0.1557179242372512,-0.5582190752029419,0.8449209928512573,0.2990526258945465,-0.992331862449646,-1.3550565242767334,1.5846807956695557,1.1276638507843018,3.9591805934906006,-0.0978839769959449,-0.974448561668396,-0.4976651668548584,-0.3610709905624389,2.239501714706421,-1.0092140436172483,-0.3914963006973266,1.1372987031936646,1.0858869552612305,0.0403447188436985,-2.099872350692749,0.3093220889568329,-0.2827557027339935,0.606894314289093,-0.7550680041313171,-1.3565592765808103,-0.918368618124006,-0.046282353360920486,1.539163430059689,-0.6006793467449881,-0.6579288594610612,-0.37043746658131593,-0.7643847585288094,-0.391100935337886,-1.9797346303307501,-0.33775628326932877,-0.3357449482382155,0.12652883343461993,-0.14416198093493635,-0.33266073926937045,0.16594732864464318,0.13133604066820603,-0.7683235379546278,-0.27663497780983315,-1.0828676345303796,-0.8244698794808434,-0.049878704404949084,1.5261229
lh_G_front_inf-Opercular_thickness,0.5778736472129822,1.3383413553237915,0.9693521857261658,0.7652295231819153,1.0940607786178589,0.0394945219159126,0.4128466546535492,1.003943681716919,0.9518734216690063,0.6127305626869202,-0.7396014928817749,0.1577141731977462,0.2663961052894592,-0.0951968654990196,0.0751300156116485,0.8630606532096863,0.546707034111023,0.8958155512809753,0.7377930879592896,0.6636441946029663,1.8138152360916135,0.930941641330719,0.4275368750095367,0.7349427342414856,0.4912692308425903,0.7446147799491882,0.9351003170013428,-0.051038451192614236,-0.05672569433862126,-0.07980658388319217,0.3044572980412698,0.4861166148233764,0.40022968045385293,0.03198692610780455,0.19835237083211532,0.4105971889712725,-0.24572211719946058,-0.1351060145037087,-0.3473229249785123,-0.053520911469555114,0.2638081022259651,0.05131260158055071,-0.07435332825078778,-0.4702718895079859,-0.2522239138516507,0.19884012853641772,0.1559913016452586,-0.2811454505338168,-0.49396858
lh_G_front_inf-Orbital_thickness,0.5088549852371216,0.7432296276092529,1.1942119598388672,0.9162776470184326,0.9307361245155334,0.3416672050952911,0.6380150318145752,0.6417263746261597,0.2640805244445801,0.4215834736824035,-0.0134267415851354,0.3233713507652282,0.0584368519484996,-0.2187390327453613,-0.1467193067073822,0.727699875831604,1.0854207277297974,0.3277051150798797,-0.0216993503272533,0.2309045791625976,0.3298850357532501,0.704646646976471,0.0679519772529602,0.4301592707633972,0.4834622740745544,1.7742044925689695,0.1404843479394912,-0.4660049901214698,0.04805180114332336,0.09562699967486285,0.3282691757836048,0.3140404936293498,-0.051459049399943814,0.12700939485351423,-0.3379348525896178,0.13370193310363676,0.03748782891242029,-0.2740383824244101,-0.33290985875646883,-0.09736840545080645,0.7334968730733681,-0.2849869501718637,-0.13346355040396465,-0.7436948176433598,-0.4890956052376659,0.7926288442254723,0.365723872638182,-1.0711451587857694,-0.6610956
lh_G_front_inf-Triangul_thickness,-0.0971242785453796,1.4482864141464231,0.3866575360298157,0.0503087230026721,0.8058344125747681,-0.2004663795232772,0.7468841671943665,0.6987429857254028,0.2674544751644134,0.7840254902839661,-0.2562820613384247,-0.4281713366508484,-0.1672015637159347,-0.4818038940429687,-0.0022829405497759,-0.1505709290504455,1.7199835777282717,-0.144060343503952,0.2419636696577072,-0.025467487052083,0.3769862949848175,0.6108537316322327,0.5981881022453308,-0.1695191860198974,-0.4501940906047821,1.1203131675720217,0.1940858960151672,-0.5942052164944378,0.14171057613576002,0.34468648017789366,0.3327775938414848,0.5925606000499138,0.2984771557334349,0.20878322921018053,0.2570720920365978,0.43749413695427425,0.0968898861271732,-0.368343333088178,-0.4430469526870196,0.044117560488933796,0.5304963771249233,0.07041694985778928,0.11421718066438051,-0.44916545216787485,-0.168101718060197,0.3139402982313675,0.15424860095883636,-0.002111905488148074,-0.19601935
lh_G_front_middle_thickness,-0.9124202728271484,1.4879357814788818,-0.9784353375434875,-1.0819772481918335,1.003820538520813,-1.0251308679580688,1.2236653566360474,0.9215177893638612,0.2590976357460022,0.8668112754821777,-0.6692023873329163,-0.4857330322265625,-0.2710552215576172,-1.05424964427948,-0.6208958029747009,-0.6170274019241333,1.943164110183716,0.5487775802612305,1.0764379501342771,0.455678641796112,0.4566318392753601,0.9586400389671326,0.5266706943511963,-0.2523383796215057,-0.1809512823820114,-0.4794784486293793,-0.3077293634414673,-0.05201187515708277,0.3800804731446936,0.0973298672595361,0.13244817650660853,0.23279359825454402,-0.18637353142014684,0.14479732975190565,-0.027175570691195895,0.13958169098067708,-0.00021132470967561673,-0.011733950534498739,-0.05034089089149629,-0.2229097266682801,0.34646013257115676,-0.23734439022038706,-0.22244702672537608,0.14674346608198446,-0.2642046516977285,0.08690646396540888,0.03763672889401847,-0.43406318965048907,-0.53672624
lh_G_front_sup_thickness,0.0486993081867694,0.4028187692165375,0.651175856590271,0.1985185593366623,0.0299971178174018,-0.3184633255004883,0.3575149178504944,0.242089956998825,0.1473110616207122,0.3047880232334137,-1.5334354639053345,-1.0195287466049194,-0.6139811873435974,-1.427357792854309,-1.111674666404724,-0.3738515377044678,1.3410937786102295,1.0283385515213013,0.3149345517158508,-0.0240327883511781,-0.0095908343791961,0.6173224449157715,0.264811098575592,0.1168252304196357,-0.005130922421813,-1.0020439624786377,0.0582377128303051,-0.18106398434280932,0.4138643889266185,-0.07583233267726357,0.26002532005236995,0.363264157551904,0.28002003006237386,0.36404386480929646,0.14441470306026186,0.40951477443542084,0.14085496507223932,-0.019841397299252328,-0.12109289645024872,-0.43943700427061094,0.49375103114202173,-0.16442116599357431,-0.24380091404152707,0.30673422712530307,-0.16616559790794833,-0.07289357312711912,0.11702124190551108,-0.2807180346735678,-0.5717215
lh_G_Ins_lg&S_cent_ins_thickness,3.190284252166748,-0.542391836643219,1.2259539365768433,2.2297568321228027,1.2165669202804563,3.8369107246398926,-0.570834755897522,1.4849728345870972,-0.2175723612308502,-1.7671034336090088,-0.1915712356567382,1.26052987575531,2.582192897796631,1.7089238166809082,1.3359954357147217,-0.7121791839599609,-1.9617661237716677,1.328585505485535,-0.5060719847679138,0.8283042907714844,0.695609450340271,0.9972547292709352,0.2309077084064483,1.8014390468597412,-0.0625483989715576,1.584048867225647,2.364953994750977,0.41563377551976816,-0.0847248607121085,-0.7893224907414287,0.43808622389961444,0.46405464699712,0.8169206305265058,0.06717100391326682,0.7168061271432369,1.3560198083181336,0.16605724362780722,0.09951409817040704,-0.2369908193360051,-0.11422982737708041,-0.8645010875896879,0.03200249172009426,-0.04770699242681579,0.6555734471854512,-0.06755650662273954,0.7196393680319321,0.6125090454558906,-0.557252463626932,-0.71683943
lh_G_insular_short_thickness,3.0062127113342285,0.4670879244804382,1.3685566186904907,2.0990219116210938,1.250025510787964,3.021655559539795,-0.3148438930511474,1.6170029640197754,0.5949930548667908,-0.6638578176498413,-0.8210938572883606,1.5651525259017944,1.8696461915969849,1.5336464643478394,1.1815266609191897,-0.2666068375110626,-0.5275300145149231,1.9199044704437256,0.3787707984447479,0.3745184242725372,0.9902172684669496,1.493658185005188,-0.0473749674856662,1.9766424894332888,-0.2601837515830993,1.4486786127090454,1.1630840301513672,0.2765318621084103,0.2634954680165467,-0.38783560226022423,0.6641655841500923,0.7384966419763115,0.5786293860200404,0.22242565771234737,0.796526693554192,1.2448144398128789,0.13142701319511937,0.16890022213268913,-0.11192644403035094,0.16457308519871386,0.5403760352691638,0.024494920401542664,0.060054303058140114,-0.02537751823140451,0.015617570671046533,0.39237801000145156,0.37946301596373805,-0.2705644619095206,-1.5172323
lh_G_occipital_middle_thickness,-0.7426165342330933,0.950233280658722,-0.5259336829185486,-0.5205862522125244,0.7449672818183899,-0.7598110437393188,0.8484020233154297,0.5418274998664856,-1.2025924921035769,-0.2246553748846054,0.7505400776863098,-1.463545322418213,-0.0447310209274292,-1.0915279388427734,-1.4186415672302246,0.1022257506847381,0.2563605010509491,-0.3428965806961059,0.8727781772613525,1.2293283939361572,-0.1346837878227234,-0.8080086708068848,0.9661917686462402,-0.1640962213277816,1.0401443243026731,-0.8251155614852905,-0.7454471588134766,-0.2505763794101773,-0.2549190632941085,0.6096184373814344,-0.16121046459228333,-0.23906202805873228,-0.24176113014358586,-0.29673461449581207,-0.1536320795783728,-1.2123820940511967,-0.13217767696094793,-0.08863468420260465,0.23941479076048486,-0.21995546304866678,0.014914986418679433,-0.1072580517581784,0.05970031120199263,-0.2728036537847635,-0.23440007192820608,-0.16083660150263418,-0.12746592781995594,-0.35807137686470375,0.36390555
lh_G_occipital_sup_thickness,-1.4989579916000366,0.3308515846729278,-1.6908588409423828,-1.7159690856933594,-0.0397887788712978,-1.0769615173339844,-0.3630615472793579,-0.7010485529899597,-0.2929746806621551,0.1259796023368835,2.1941866874694824,-1.5485259294509888,-0.7898913025856018,-1.321053147315979,-1.879082441329956,0.2355188280344009,-0.2258306145668029,-0.7473995685577393,0.0946920365095138,0.6998714208602905,-0.852044403553009,-1.8212087154388428,0.686535120010376,-0.7121075987815857,0.4623375236988067,-2.4623360633850098,-1.1933352947235107,-0.8800140699809749,-0.5193598192817261,1.3850977788388747,-0.3569905831497614,-0.06697036591179538,-0.44396105077616965,-0.9099793128266853,-0.663455193121827,-1.29684020445104,-0.3789818851508423,-0.33251979164558165,0.0195836297059939,-0.2582733823359292,0.07035000238835884,0.07288643694652228,-0.29851017731766416,-0.9288651041504931,-0.8187457527305376,-0.9662152440754451,-0.7413666032863628,-0.9764327450820507,1.0422599
lh_G_oc-temp_lat-fusifor_thickness,0.6043042540550232,-1.0486350059509275,0.9468529224395752,0.8436419367790222,-0.4202063679695129,0.2558245360851288,0.0250116847455501,0.316370278596878,-0.2120212316513061,-0.296292096376419,-0.2025943100452423,0.4993792772293091,0.1430208384990692,0.1599084734916687,0.663536787033081,0.1415571868419647,-1.2310006618499756,-0.4131320416927337,0.1401585340499878,-0.6381450891494751,-0.5985473990440369,-0.4048555493354797,-0.2570813298225403,-0.1190598458051681,0.7118585109710693,1.652751326560974,-0.94248229265213,0.4078897782788548,-0.2952733337250535,0.11771031874696931,-0.024291990088141986,-0.3315008980075968,-0.5128306236998399,-0.14002128158475882,-0.3936441731258842,-0.32170605758358906,-0.3072303591731914,-0.03848987620020264,-0.11221862038254643,0.2570070268417299,-0.18212313394482954,0.1459147884165756,-0.17063063128154474,-0.4077651713784894,-0.026938517576430766,-0.48762821089629665,-0.4039677983742278,0.10881219288694755,0.34711492
lh_G_oc-temp_med-Lingual_thickness,-0.9581236839294434,0.0054636746644973,0.2258859127759933,-0.6231995820999146,-1.71965754032135,0.2003234624862671,-2.4889512062072754,-1.710793137550354,1.637923002243042,1.141862869262695,2.203258514404297,0.3844409883022308,-1.388117432594299,-0.0805775895714759,0.1237910091876983,1.506745457649231,-1.423905372619629,-1.1459057331085205,1.0654311180114746,-1.2396271228790283,-1.2325105667114258,-2.0986483097076416,-1.4516184329986572,0.032032698392868,-0.7535396218299866,0.9897892475128174,-1.6629557609558103,-1.0488984633651717,-0.44837089894372073,1.6853379270057887,-0.8798140058174229,-0.9430169488283318,-0.030343703144091273,-1.2290816581803825,-0.4611938390410409,-1.7221064422517034,-0.3947326328308777,-0.26165440466647294,0.40237578310680583,-0.5744103447154083,-0.2094540786602396,0.3973997156823616,0.27135006213637475,-1.061868990194477,-0.5190089750930575,-0.7387628958530034,-0.751902115953966,-0.7002146735296074,1.495793
lh_G_oc-temp_med-Parahip_thickness,1.4102332592010498,-2.8527145385742188,-1.1395727396011353,0.2179352194070816,-3.432901620864868,1.674527883529663,-1.8093934059143064,-1.1741474866867063,-1.496368646621704,-2.450912475585937,-0.9454631805419922,-1.731714367866516,0.2263403087854385,0.6361237168312073,0.5519188642501831,-2.4624247550964355,-1.0636167526245115,-0.922268807888031,-2.879333257675171,-2.693983316421509,-2.764654397964477,-0.713503897190094,-1.9782941341400144,-3.693426609039306,-2.188321113586426,0.9003463387489319,-0.997915506362915,0.08977509183839086,-0.5583856333705337,-1.2137022929740071,-0.27386440564194,-0.5802610040670737,1.0153489827615692,0.7532493645210906,-0.08257625067252611,0.9259434015642813,0.16513779046044727,-0.1093833517682645,-0.3488702895625595,-0.9675770805037995,-0.8631331588648861,0.06261311208250782,-0.030568055336539352,1.0543082605423177,0.26748284245678,1.4816783340152628,1.005677722376997,-0.07913588526915358,0.34777325
lh_G_orbital_thickness,1.114728927612305,0.0078029977157711,1.6614912748336792,1.3463950157165527,-0.2300725430250167,0.9358873963356018,-0.1171994805335998,0.9874150156974792,-0.1461241394281387,-0.0957494676113128,-0.60064297914505,0.7613252997398376,0.2547379732131958,-0.1646042913198471,-0.969911813735962,0.090452641248703,0.8870217800140381,0.5929080843925476,0.4669073224067688,0.1638274937868118,-0.4219266772270202,1.0159143209457395,-0.8218628764152527,0.292631059885025,0.2570861279964447,1.1705268621444702,0.3128874897956848,0.05426892174696493,-0.08649233597065721,-0.2645171032828133,0.3148949220225844,0.5123333210259634,0.036625618291415744,0.30189481629618387,-0.0964144605216051,0.9317660475412541,0.2663680140941596,0.12007800264966229,-0.424306300154063,0.20052194456139855,0.0307970793407079,-0.14476859597578418,0.3037241756104766,-0.08220444717297705,-0.4341066068829364,0.29579381547908007,0.2563111777385271,-0.5907040284489223,-0.74141353
lh_G_pariet_inf-Angular_thickness,-0.5764983892440796,0.6661158204078674,-0.4245558679103851,-0.2280572354793548,1.1075619459152222,-0.9215436577796936,1.4228036403656006,1.0689597129821775,-0.2062101811170578,0.5723345279693604,-0.5976254343986511,-0.7987957000732422,0.3466507196426391,-1.4453778266906738,-1.674687743186951,0.1238288879394531,1.2988276481628418,0.0730503425002098,0.8301610350608826,1.35449481010437,0.7026112675666809,0.2297864258289337,0.667053759098053,-0.4013383090496063,1.2064032554626465,-0.5350124835968018,-0.7371880412101746,0.08561416495293242,0.14970323228392476,0.2151487072936581,0.25138455416683086,-0.03554050210526031,-0.5420677421336455,0.06395086004608547,-0.3876893237361809,-0.6765801345831253,0.19391759741402673,-0.03658430245268501,0.14897410566035021,0.17473571002331023,0.06758758160160991,-0.15775602657962523,-0.485258295930377,-0.45965655753951923,-0.6593626533940545,-0.2212588582332011,-0.125800672876259,-0.7441203847210467,-0.3823644
lh_G_pariet_inf-Supramar_thickness,-0.3107757270336151,0.5599461197853088,-0.2863272726535797,-0.0493105687201023,0.8565008640289307,-0.6066290736198425,0.8012389540672302,1.424066424369812,-0.036707442253828,-0.0638809651136398,-0.3475793004035949,-0.5991802215576172,0.5411486029624939,-0.8345361351966858,-0.7964624166488647,-0.2140263170003891,0.1614977568387985,0.1780665963888168,0.4721448421478271,1.0871429443359375,1.218335509300232,0.66083824634552,1.01116943359375,-0.1656852662563324,0.9750963449478148,-0.0839320197701454,0.0128414509817957,0.1146730211153883,-0.14175974703151148,-0.08869266613335794,0.15869941353410427,0.07542796727021066,-0.39737200644909904,-0.01334573408399257,-0.24954981620761918,-0.7550830350807534,-0.07594773401217485,-0.07840490270118357,-0.3547088047013323,0.010548038851977748,0.09541601731587283,-0.17088578066685048,-0.34169757947837515,-0.27199064181901333,-0.35144846714135136,0.022254462087014124,-0.05584980628611265,-0.2698457076914728,-0.42104405
lh_G_parietal_sup_thickness,-1.1336126327514648,-0.347186267375946,-1.4403303861618042,-1.2958141565322876,0.0874801501631736,-1.152740478515625,-0.1047045141458511,-0.2034323662519455,-0.4493640065193176,0.1752114444971084,-0.747140109539032,-1.3489084243774414,-0.5656362771987915,-1.716379165649414,-1.2887128591537476,-1.087943434715271,0.6174078583717346,-0.3574348986148834,0.0666089355945587,0.3398884534835815,-0.1398940086364746,-0.2950441241264343,0.4059613049030304,-0.9866538643836976,0.4087522625923157,-1.9688050746917725,-0.7875174880027771,-0.05351299071447618,-0.0990171864814101,0.24332330089818066,-0.2291533286911249,-0.07383541215414202,-0.5192652448668451,-0.28355214416791974,-0.4045276325870358,-0.7385239403051957,-0.05587735664902357,-0.21315085119825633,0.08741020404811689,-0.15582622056335366,0.2655984414398219,-0.45812203900676185,-0.299849635319181,0.009508989695131458,-0.6830370060615225,-0.19728972705725037,-0.19962907517660988,-0.7212371813562649,-0.059101224
