,Ex1,Ex2,Ex3,Ex4,Ex5,Ex6,Ex7,Ex8,In1,In2,In3,In4,In5,In6,In7,In8,Astro,Endo,Micro,OPC,Oligo
lh_S_occipital_ant_thickness,-0.30342979502558837,-0.01116663827537323,0.31601161714815496,-0.28963688232200824,-0.09958245280320888,-0.1902750924372396,-0.6637649510748793,0.10648274309844731,-1.2453391475554272,-0.5839782470539733,0.18686834665703472,0.3541623299917513,-0.10728669611541393,-1.0364000210707194,-0.09717074637420356,0.4598763226273363,0.522973014584723,0.5210185507267153,-1.1969851246068395,-0.5907912419353979,0.49322370627864043
lh_S_oc-temp_lat_thickness,0.813949618144728,-0.2199514378766938,0.1705156395701774,0.32845900530748706,0.037607615951232104,-0.2605935484529027,0.17956182555188174,-0.22774957859295508,-0.30136837583136417,-0.43523971347995927,0.10678862885227458,-0.25133584028649203,0.29593104924950453,-0.6032482710820262,0.19947612035964926,0.07754531710022443,-0.1294406488838936,-0.2479719289981032,-0.6814496570921323,-0.4824467897594869,-0.15635699079291662
lh_S_oc-temp_med&Lingual_thickness,0.7396341053717231,-0.7912229977632408,-0.17294033916490073,-0.017185291000918448,-0.18167329278160244,-0.39169536541438765,-0.04415848127619563,-0.5965979760236715,0.13370086994596264,-0.07274177847281146,0.10873184452453459,-0.0777238663063584,0.09642621453951983,-0.573311876600475,0.30296036655583725,-0.28373929946322013,-0.3303331501861273,-0.33941174735160623,-0.45020585785571043,-0.3261462321394161,-0.3869540894558714
lh_S_orbital_lateral_thickness,-0.250116421258274,0.5298864316690644,0.17900830829776376,0.1767115839156626,0.20532888063414378,-0.19579115570235286,0.1647230145638849,0.2734254362113328,0.8738238801096001,0.5844399690131452,0.08201179709331687,0.18370540517315562,0.7974312339723736,0.17682090374374695,0.21817294329662254,0.33343770022257796,-0.020255644285032192,0.7025077699473755,0.4943004375406219,0.23479496005770187,1.1966725407452783
lh_S_orbital_med-olfact_thickness,0.6669603531023854,0.05954640829130109,-0.32520953759876603,0.3464612874896422,0.34658180707483277,-0.17587435210906394,0.5006871214013141,-0.20506220262648447,1.2142151661554443,0.20356271103781332,0.15129245598528315,-0.7096503697480953,0.2983953842213302,0.015922411914808386,-0.04240893720053433,0.493777808366422,0.20872779750363124,-0.5032860648928303,0.21027307664617773,0.23635713779941403,-0.8477806337925881
lh_S_orbital-H_Shaped_thickness,0.06550937610478356,0.45353619964230624,0.2094945737961117,0.15440188454958073,0.21745092015781275,-0.005273281297349588,0.05544667993462823,0.07294880757361116,0.6491833824127989,0.49557714704427497,0.061327225685494736,0.003895758423936461,0.4438639110280609,0.11607422620924623,0.13817056289955112,0.3946570461191871,0.19722046492541426,0.18045959220971577,-0.12785842590040483,-0.09977238254010617,0.3065149240223823
lh_S_parieto_occipital_thickness,-0.12810718876276073,0.1167121521742025,0.48078932770658234,-0.1567510820576067,-0.19778368626748422,-0.23128876419736993,-0.3486000648105702,-0.21054317454129934,-0.3739719680549092,-0.058990097929438275,0.08811385551290019,0.26306528381589944,0.14616370106120855,-0.19681516628278073,0.20054015287865035,-0.3034543925803353,-0.5217204204828696,0.21478752639762144,-0.5334004498267036,-0.4571705962767334,0.4381247488126882
lh_S_pericallosal_thickness,-0.28346280514010735,-0.04591325291932821,-0.8416324854820145,-0.17715144324508894,-0.4788879036960868,0.6706248681059285,0.42459261174249024,0.06230420562240707,0.6977028843261655,0.42001649589910656,0.2567632672890481,0.2772703570905237,-0.6112988136572955,0.012316703932752571,-0.5890377301052254,-0.022323063725762798,0.9396215175484178,0.4297091519003343,0.6393753877398075,0.5138520107880888,0.2955821654005636
lh_S_postcentral_thickness,0.1125272851449518,-0.03675674937903956,-0.023979315672948316,-0.20320322214508557,-0.6186724866888256,-0.5741451641716708,-0.5378834868356291,-0.3171869048144026,-0.8592608208770166,-0.22835848081691124,0.16182905146902704,0.25390696322617323,0.0026737557359506653,-0.32851916489697064,-0.2854878821131561,-0.16301237104041652,0.38196028041269475,0.19080553122949764,-0.1290909329799458,-0.15799005071922595,0.4169152636782649
lh_S_precentral-inf-part_thickness,-0.19533780193786876,0.24513345974985837,-0.30169637475360367,-0.4037135612727472,-0.13812879983528234,-0.09279845119835266,0.24427875486021863,0.44289094260744377,0.34648630420498583,-0.21924360868599707,-0.2055382772934071,0.07015845521459628,-0.26032173693961497,0.39004339248747943,0.05954309879719126,0.18742389860929765,0.06743991718199743,0.6382129989807572,0.3712409472764208,0.19185610146620138,1.022223904095899
lh_S_precentral-sup-part_thickness,-0.3118555340050779,-0.21788024590439412,0.0737117810037606,-0.05969621444345547,0.5518670143869561,0.4076504971778578,0.22825745726603655,0.042342606818763916,0.11720650646299972,-0.5416407397482919,-0.021562908529123286,0.106303767447121,-0.6410514631304185,0.6306888749703999,-0.1587575793760862,-1.1273120794164668,0.14824286475219087,0.09968060356687353,-0.6691519334970109,-0.2737352526250312,0.020271366653063946
