,ni1-SV2A-M1-mGluR5-5HT6-CB1-GABAa-HDAC,ni2-5HT2a-5HT4-5HT1a-5HTT,ni3-FDOPA-DAT-D1-NMDA,ni4-GI-5HT1b-MU-A4B2,ni5-VAChT-NET,ni6-CBF-CMRglu,ni7-COX1,ni8-H3,ni9-D2,ni10-TSPO,ce1-Ex7-In4-Ex5-Ex4-In1,ce2-Oligo-Endo,ce3-Micro-OPC,ce4-In3-In2-Astro,ce5-In6-Ex2,ce6-Ex8-Ex6,ce7-In7-Ex3,ce8-In5,ce9-In8,ce10-Ex1,mr1-myelin
lh_G_insular_short_thickness,0.6638833863110766,2.6196287317937217,1.8961650576553517,0.2158485258387945,0.7123270741450547,0.1446536555280943,-0.5019206942765886,1.5688896841811613,-2.02849389929698,0.7310920373401927,1.14119417337677,-0.384778554246158,0.3957783686933418,0.6275847980245469,0.907509945517342,1.989278120129726,-0.338508631008002,0.878295301887239,-0.2778456407212087,0.214236122239863,-1.5172323
lh_G_occipital_middle_thickness,0.8694307344380631,-0.5765462066812517,-1.2776992884508664,0.4678715762309411,-0.0091923521608771,-0.9208760576580846,0.9535492473009834,-0.1924232105436233,-0.2181232736694343,-0.2789643498814469,-0.7543203232369389,-0.5587878191130371,-0.147129116916168,-0.3374944968446413,0.0891211049264689,-0.7563852852537177,0.3802364617726887,-0.5140304222989577,0.135382530772008,-0.5568033178650171,0.36390555
lh_G_occipital_sup_thickness,0.131632105679583,-1.5398540180697478,-1.7891678557899329,-0.562344184647633,-0.3518602182357294,-0.2071104007032442,2.099515880424529,-0.4245776350572276,-0.1101820302065234,-1.9597563107148388,-1.3760191895549136,-1.9863274395467496,-1.1304218868887024,-1.3403676072061044,0.0914128464477934,-1.405473072612338,1.3529241989164789,-0.078651827212578,-0.3900709936729208,-2.1919979720186653,1.0422599
lh_G_oc-temp_lat-fusifor_thickness,-0.0751560988988282,0.5441552167348894,0.1583573527104351,-0.4735279468190081,-0.6234183616213633,-0.1748718503536927,-0.3082706837790357,-0.130275902044544,0.1519695484835372,2.183277075433133,-0.3430681674605841,0.0181915524093039,-0.6451425275116414,-0.6666096412291161,-0.5074709282495317,-1.120956781203976,0.697982129034028,0.8238189084098858,-0.4420048402625398,0.8579703605364103,0.34711492
lh_G_oc-temp_med-Lingual_thickness,-1.168004538210353,-0.4286054815697376,-0.3145722008725315,-0.9548693656539706,-1.5370990849887418,1.7166241428128648,2.02119581975112,-0.0362864193616211,2.183531324600262,1.3457644827773476,-2.395402347047714,-1.3204549644525163,-0.984391856577826,-1.3404953867559817,-0.4580293268054085,-1.3939924208686587,2.076771790595988,-1.0399179256361832,-0.386659981041042,-2.4314532944478016,1.495793
lh_G_oc-temp_med-Parahip_thickness,-2.9962468170110474,-0.2531458162016596,-0.6147763201295464,-3.3387202172832264,-1.9749467583752949,-2.0697073751796045,-0.8792404853388994,1.212468730880964,-2.236073765218216,2.720955404093332,0.7179691469849996,0.7057761690450995,2.929367302465419,0.5808279671520424,-2.307227280604101,-0.120645666341572,-0.0446555045792302,-3.6626016629776825,-0.3399398893655307,-0.3426542674543284,0.34777325
lh_G_orbital_thickness,0.0323310852660286,1.3350292044885332,0.0267329467348954,0.6725586835084081,-0.6276840493439526,-0.6338133721067172,-0.6645728100722113,1.538252466414458,0.4782946879210866,1.3606968265653965,1.0127943652357034,-1.0174051490756568,0.6408142751292802,0.4233903238161918,-0.061672963709866,0.0072579542768393,-0.2778456879992114,0.6133095360381763,0.3237802169346039,-0.4839698571371154,-0.74141353
lh_G_pariet_inf-Angular_thickness,1.1022463965678846,-0.3467129601044037,-1.017181108200939,0.9972473611317172,-0.1510261795156874,-0.2002235240397668,-0.3388616810927582,-0.2020523137948296,-0.0205694979564543,-0.1774461631957941,0.2077943571805743,-1.2169111222165525,-0.199925530355375,-0.222294697102996,0.408421723589643,-1.1488917504203904,-0.5698349276503009,0.6315442841860245,-0.0823391184233315,-0.1347458926897632,-0.3823644
lh_G_pariet_inf-Supramar_thickness,1.1383883537344552,-0.1464908810824502,-0.3563730204026313,0.60676644561707,0.4858179847102669,-0.5343065992199353,-0.5996282047747042,0.2975642185058463,-0.2272317551747069,0.1751778377310528,0.1446245546423105,-0.6243935484694019,0.0702970408574521,-0.670380988230824,-0.142003241851113,-0.7832180321499019,-0.2223184657242177,0.4015326853382527,-0.4727336716560623,0.2253697079131632,-0.42104405
lh_G_parietal_sup_thickness,-0.0286267373070418,-1.5567458678405703,-1.3495897923993716,0.0777941213631763,-0.2274393093367935,-0.0651430933583779,-0.5345528253442822,-0.8012687154920906,-0.3215952729158455,-1.5336221761964477,-0.4570458404538433,-1.2633708727451278,-0.3046288179203788,-0.4531427780656819,0.3590547192463217,-1.21553457788826,-0.6084869651074718,-0.2751608564901095,-0.1179292012851119,-0.1702476316494429,-0.059101224
