,ce1-Ex7-In4-Ex5-Ex4-In1,ce2-Oligo-Endo,ce3-Micro-OPC,ce4-In3-In2-Astro,ce5-In6-Ex2,ce6-Ex8-Ex6,ce7-In7-Ex3,ce8-In5,ce9-In8,ce10-Ex1
lh_G_Ins_lg&S_cent_ins_thickness,0.951749345472229,-0.5848054026157035,1.2184827972756647,0.7309751176244651,-1.3710684920085128,1.970741015691134,-0.5907320902655248,-0.2322889446112493,-0.20508957566991037,0.21648991815968477
lh_G_insular_short_thickness,1.1411941733767699,-0.38477855424615803,0.3957783686933418,0.6275847980245469,0.9075099455173419,1.989278120129726,-0.33850863100800205,0.878295301887239,-0.2778456407212087,0.21423612223986307
lh_G_occipital_middle_thickness,-0.7543203232369389,-0.5587878191130371,-0.14712911691616803,-0.33749449684464133,0.08912110492646899,-0.7563852852537177,0.3802364617726887,-0.5140304222989577,0.13538253077200804,-0.5568033178650171
lh_G_occipital_sup_thickness,-1.3760191895549136,-1.9863274395467496,-1.1304218868887024,-1.3403676072061044,0.0914128464477934,-1.4054730726123381,1.3529241989164789,-0.07865182721257807,-0.39007099367292086,-2.1919979720186653
lh_G_oc-temp_lat-fusifor_thickness,-0.34306816746058416,0.01819155240930396,-0.6451425275116414,-0.6666096412291161,-0.5074709282495317,-1.120956781203976,0.697982129034028,0.8238189084098858,-0.44200484026253983,0.8579703605364103
lh_G_oc-temp_med-Lingual_thickness,-2.395402347047714,-1.3204549644525165,-0.984391856577826,-1.3404953867559817,-0.4580293268054085,-1.3939924208686587,2.0767717905959877,-1.0399179256361832,-0.386659981041042,-2.4314532944478016
lh_G_oc-temp_med-Parahip_thickness,0.7179691469849996,0.7057761690450995,2.929367302465419,0.5808279671520424,-2.307227280604101,-0.12064566634157209,-0.044655504579230273,-3.6626016629776825,-0.33993988936553077,-0.3426542674543284
lh_G_orbital_thickness,1.0127943652357034,-1.0174051490756568,0.6408142751292802,0.4233903238161918,-0.06167296370986606,0.007257954276839396,-0.2778456879992114,0.6133095360381763,0.3237802169346039,-0.48396985713711543
lh_G_pariet_inf-Angular_thickness,0.20779435718057437,-1.2169111222165523,-0.19992553035537503,-0.222294697102996,0.408421723589643,-1.1488917504203904,-0.5698349276503009,0.6315442841860245,-0.08233911842333153,-0.13474589268976328
lh_G_pariet_inf-Supramar_thickness,0.1446245546423105,-0.6243935484694019,0.07029704085745211,-0.670380988230824,-0.142003241851113,-0.7832180321499019,-0.2223184657242177,0.4015326853382527,-0.47273367165606234,0.2253697079131632
lh_G_parietal_sup_thickness,-0.45704584045384333,-1.2633708727451278,-0.3046288179203788,-0.4531427780656819,0.3590547192463217,-1.21553457788826,-0.6084869651074718,-0.2751608564901095,-0.11792920128511197,-0.1702476316494429
lh_G_postcentral_thickness,-0.8095607927330496,-0.7127937776298422,0.359536287727315,-1.1190126769103366,0.5464111608901208,-1.067547718730403,0.8422191942397899,-0.3987791323638047,-0.13311839624370772,-1.5520242905296247
lh_G_precentral_thickness,-0.4510431407851927,0.735637901756982,0.5011141996622582,-1.024105164586693,0.2720856718497409,-0.05290534805452751,0.2808962427853015,-1.4531773428637924,-1.7199063255815366,-0.7834024551320374
lh_G_precuneus_thickness,-0.0504704798044875,-1.143077204564673,-1.405144023799086,-0.3665399568297998,0.0009435024485897753,-0.5483698633464212,-0.8605579712167504,-0.3113137306253283,-0.6333660146064788,0.35188511376417
lh_G_rectus_thickness,1.2666561290250042,-1.4107961785630048,0.9809136301971692,0.5474974665396946,0.03695068665879567,-0.13360818665689903,-0.5791199419620363,0.16973806429691218,0.40424490469330804,0.5211129071506311
lh_G_subcallosal_thickness,1.8754010151513045,0.6096079630597072,3.2653109094255877,-0.4760510996466602,-2.5298527241728106,0.28932792574328725,-2.429950678364125,-1.9900696119511403,-0.8620883806795411,-1.7518457170667698
lh_G_temp_sup-G_T_transv_thickness,-1.209836433567047,0.8565308378764844,-0.13105731253907332,-0.6731874340266875,0.7072045910664664,0.7550466750166167,2.445420562503183,1.4568654514501085,0.9524051661706695,-0.005967197313490741
lh_G_temp_sup-Lateral_thickness,0.5545696228034296,-1.4703922521032593,0.41009031163261583,-0.35471229841627544,-0.6797308655605149,-0.7912575869235431,0.46600702852915676,1.0730354898089929,-0.6252691393500169,0.44864190812420823
lh_G_temp_sup-Plan_polar_thickness,1.6857249908112197,0.7583950085385651,1.132912785897874,0.8929459683120304,-1.7439428842728153,1.9681864813587873,-2.1627928054639884,-0.553726572088223,0.36168121380894513,1.297383986350225
