,,ni3-FDOPA-DAT-D1-NMDA,ni4-GI-5HT1b-MU-A4B2,ni5-VAChT-NET,ni6-CBF-CMRglu,ni9-D2,ce3-Micro-OPC,ce4-In3-In2-Astro,ce5-In6-Ex2,ce9-In8
"Δ(5,30)",lh_G_orbital_thickness,-0.0001052463215635846,0.004267034497243985,0.0015301868975828997,-0.003249079140178676,0.008581553531754132,0.0014979998253750043,4.559592923790434e-05,0.0005041996518744124,-0.0007126471523532518
"Δ(5,30)",lh_G_pariet_inf-Angular_thickness,-0.00128127799194043,0.0052311995979792275,0.001049596974478595,-0.0007144633168811865,-0.0003897359881984003,-0.000376950842692389,-0.00019971738626056723,0.00019629566695660017,-0.0007208749630227829
"Δ(5,30)",lh_G_pariet_inf-Supramar_thickness,0.00047052924325459433,-0.002012417954150733,0.0017221273502216194,0.006138781812260824,-0.0024373058700137007,0.00155081407843069,0.006264229779344654,-0.00033960485902750914,0.004158486808581469
"Δ(5,30)",lh_G_parietal_sup_thickness,-0.0022255226217698376,0.0011190714631264531,0.0007995114116026852,0.0018222569936172245,-0.006989118495487889,-0.0006732564514186218,-0.0005912352995254277,-0.0004239263245763708,-0.0008635911164232984
"Δ(5,30)",lh_G_postcentral_thickness,-0.004387367199578669,0.0004235734594825527,-0.0033734275553185117,0.0007681003456942795,-0.01113768180097454,-0.0082677159236045,-0.003188645956263482,-0.0001957829238363809,0.001534053158177076
"Δ(5,30)",lh_G_precentral_thickness,0.0038771031310802645,-0.0038524709893073827,0.0031016868873200154,0.0003552797294162774,0.005317237564124569,0.014557048398901665,0.0038816671891048204,0.00028629954137511515,0.014447572557591354
"Δ(5,30)",lh_G_precuneus_thickness,0.0001235901913193005,-0.00010703301467424042,0.0013270972229284805,0.007597839945566856,-0.0004371047100539538,0.00940513280641199,0.002938853353305154,0.0011483367832131885,-0.003474793108870694
"Δ(5,30)",lh_G_rectus_thickness,-0.0011619811188095797,-0.0015282712957887523,-0.004139579947960159,0.001820536244333093,-0.007795849772613911,0.01571184670049222,0.0019201527824241615,0.000976812238784236,0.003973687183291594
"Δ(5,30)",lh_G_subcallosal_thickness,0.003657440167776034,0.0013261609756886825,0.0007267651848151188,0.003869300640312927,0.00881353063769793,-0.026126273712046517,-0.011297899093188825,0.0022552795541821574,-0.005977588203678948
"Δ(5,30)",lh_G_temp_sup-G_T_transv_thickness,-0.0007248884827830149,0.005157962885052103,0.005609011059070496,-0.004951088707997181,-0.004260877829959639,0.0008190367010810079,0.00020404195431988903,-0.001029509093476183,-0.010547376557378044
"Δ(5,30)",lh_G_temp_sup-Lateral_thickness,0.0008526899231960927,-0.0021332153866322895,0.0009160524639104523,0.0003725602722063903,0.007102099125617586,0.0012812237792882777,0.0021116877845830107,-0.0008627304404496411,0.0018750837959592426
"Δ(5,30)",lh_G_temp_sup-Plan_polar_thickness,-0.0013293685630133556,0.00593636650756213,0.00011317033765574636,0.006139529846295358,0.01929603319527784,-0.01364761269567765,8.122724791628788e-06,0.0009290514908015593,-0.01135480052976802
"Δ(5,30)",lh_G_temp_sup-Plan_tempo_thickness,0.0003827976545055928,0.0007666257569601959,-0.0029022060302539426,-0.004520388001385434,-9.53566705245712e-05,0.010078583059019042,-0.004204543780708003,0.0010082677663699052,-1.917369243761846e-05
"Δ(5,30)",lh_G_temporal_inf_thickness,-0.0010415102066819934,-0.0025596310624327184,-0.0010082842009965232,0.005801596359377867,-0.0014117839783222702,-0.002182606687558347,0.0026528240152104768,-0.0006235614606202172,0.009933911687326422
